BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,2900.0,7750.0,67996.0,7.7118100489999994,3.0,0.0,122.20466280000001,2.0,8.0,36.211348
1,2900.0,54985.594829999995,54709.686089999996,1.11430742,0.0,0.0,282.80165919999996,3.0,37.0,49.20639579
0,3000.0,104570.0,54856.00136,0.608951583,0.0,0.0,85.8843719,0.0,14.0,32.05978327
1,3000.0,7000.0,20300.0,3.0,0.0,0.0,50.8,5.0,9.0,
1,1291.336409,,7131.4311609999995,2.0,0.0,1.0,77.76666667,0.0,3.0,
1,2367.5906370000002,,33000.0,1.0,0.0,1.0,23.3,1.0,2.0,
1,3000.0,119826.0,157559.3299,3.5785337669999997,0.0,0.0,130.0333585,0.0,27.0,
0,3000.0,20000.0,29750.0,2.0,0.0,0.0,187.06666669999998,0.0,12.0,
1,3000.0,,14500.0,1.549490585,0.0,0.0,9.3,14.0,2.0,
1,3000.0,,14100.0,1.0,0.0,0.0,104.2,0.0,19.0,
1,3000.0,47000.0,82700.0,10.0,0.0,1.0,262.1666667,5.0,26.0,
1,884.3139107000001,34542.0,45900.0,8.5,0.0,2.0,62.36666667,0.0,10.0,
0,3000.0,58000.0,12118.0956,10.0,,2.0,211.93333330000002,0.0,25.0,
0,727.4328939,47000.0,24714.62271,6.189384818,0.0,0.0,201.8666667,0.0,20.0,
1,2619.671076,10893.59022,36100.0,0.46373942799999995,0.0,0.0,153.16666669999998,1.0,14.0,
0,3100.0,,53926.518520000005,,,,,,,
0,522.6998302000001,64550.0267,74566.0,10.0,,1.0,206.4266021,0.0,25.0,40.11567728
1,3200.0,48603.0,61000.0,28.0,0.0,4.0,122.03333329999998,1.0,25.0,
1,2631.883524,27200.0,40834.0,,0.0,0.0,298.131564,0.0,7.0,35.55353879
1,3200.0,54000.0,64850.0,0.654226612,0.0,0.0,121.86666670000001,3.0,21.0,
0,3200.0,74864.0,87266.0,3.80371009,0.0,0.0,250.6312692,0.0,12.0,42.90999735
1,3200.0,23159.0,,20.0,,2.0,117.80574779999999,0.0,9.0,0.524499215
1,2099.261171,126541.0,107616.57,9.0,1.0,0.0,139.0,0.0,36.0,
0,3300.0,130518.0,108927.8097,9.0,0.0,6.0,192.289149,0.0,33.0,35.73055919
1,3400.0,37000.0,52000.0,2.0,0.0,1.0,183.2999156,0.0,6.0,
1,3500.0,7645.006276000001,38666.0,2.81686183,0.0,0.0,162.3666667,0.0,14.0,
1,3500.0,19400.0,20494.0,5.0,0.0,0.0,95.93333333,0.0,9.0,
1,1942.98713,39990.795,61800.0,10.0,,,,,,
1,3600.0,35993.34195,10719.90036,3.0,0.0,0.0,72.03333333,2.0,4.0,
0,3600.0,15196.969869999999,111800.0,6.0,0.0,0.0,192.7333333,1.0,28.0,
0,3600.0,61327.0,40927.94171,9.0,,2.0,202.51077519999998,0.0,25.0,41.516389700000005
0,2330.681497,86847.23046,114743.0,6.0,0.0,0.0,88.47045214,0.0,14.0,29.39354338
1,1773.4973519999999,39763.55107,61000.0,13.0,1.0,4.0,97.4,0.0,17.0,
0,3600.0,52337.0,63989.0,20.0,0.0,0.0,204.27249880000002,0.0,20.0,20.47091551
1,3700.0,17857.0,21144.0,2.404807782,0.0,0.0,129.7173231,1.0,9.0,26.63434752
1,383.79449089999997,19135.0,97692.0,1.041608981,1.0,6.0,252.6333333,1.0,25.0,
0,3467.1968079999997,51180.0,63459.0,20.0,0.0,0.0,203.7515336,0.0,20.0,20.06704205
0,434.6534553,,73189.0,,,,,,,22.25394916
0,3800.0,11543.0,33051.14183,,0.0,0.0,204.64799169999998,0.0,11.0,42.17316588
1,2553.698583,29896.0,45960.0,11.0,0.0,0.0,146.1232422,0.0,14.0,24.47888119
1,3900.0,14500.0,6052.11954,3.5,0.0,1.0,150.3,5.0,8.0,
0,3432.83115,52825.0,10561.11295,8.0,0.0,4.0,171.66666669999998,1.0,31.0,
0,1321.5907220000001,99660.57401,99825.59831,1.199743456,0.0,0.0,85.27736558,0.0,13.0,29.34392109
0,3576.421502,21200.0,20624.25824,4.0,0.0,1.0,86.56666667,2.0,14.0,
1,4000.0,95073.27091,36726.5339,0.502731075,0.0,0.0,94.72487417,0.0,13.0,29.39092806
0,1864.076835,54543.0,61777.0,20.10334843,0.0,0.0,205.58668,0.0,19.0,21.80656346
0,4000.0,,52347.78105,1.5,0.0,2.0,126.53333329999998,3.0,12.0,
1,3509.003015,26572.0,21287.26704,11.0,0.0,0.0,117.79510390000002,0.0,8.0,41.28649195
1,2169.7638699999998,2606.2539620000002,52012.0,22.0,3.0,1.0,85.33333333,1.0,9.0,
1,4000.0,1303.383404,37200.0,6.0,0.0,0.0,92.13333333,1.0,26.0,
0,4000.0,23376.63089,76725.0,0.426381935,0.0,3.0,136.1333333,0.0,15.0,
1,4000.0,58000.0,4100.599389999999,2.849734653,0.0,1.0,168.66666669999998,0.0,18.0,
1,2269.216542,3191.8959489999997,18000.0,,0.0,0.0,12.2,0.0,17.0,
1,4000.0,23779.96283,58350.0,3.5,0.0,0.0,162.0,3.0,16.0,
1,4000.0,7000.0,15003.275730000001,7.947185608,0.0,1.0,85.8,2.0,23.0,
0,3391.0419380000003,8334.682875,79050.0,1.8,2.0,0.0,279.0,1.0,6.0,
0,4000.0,,45760.0,0.0,0.0,0.0,,0.0,0.0,
0,4000.0,62000.0,52488.463339999995,4.0,0.0,0.0,109.56666670000001,0.0,15.0,
0,2368.359446,64240.0,39270.41439,2.1847389109999997,2.0,0.0,160.3,1.0,23.0,
1,4000.0,74000.0,64845.563879999994,0.523063075,1.0,3.0,186.6333333,,9.0,
1,4000.0,36921.12735,2590.086672,2.0815529390000003,2.0,0.0,146.1,0.0,22.0,
0,2964.192755,67625.0,37652.9345,2.356707637,,1.0,212.3493039,0.0,25.0,39.12871763
0,1483.6144160000001,67533.0,53498.26436,10.0,,2.0,227.7929884,0.0,25.0,39.1663287
1,4100.0,,19132.0,0.0,0.0,0.0,100.7746522,0.0,19.0,33.840919899999996
1,4028.3689340000005,58500.0,65000.0,0.6805637590000001,1.0,2.0,63.93333333,2.0,15.0,
0,4100.0,14004.937869999998,63797.0,7.0,0.0,4.0,165.50503700000002,1.0,31.0,22.27817437
0,1363.391852,37394.69002,30823.638939999997,19.0,0.0,0.0,211.0025991,1.0,20.0,19.02770443
1,2840.199093,4412.906014,27639.075119999998,1.254661712,1.0,0.0,93.5,1.0,5.0,
0,4200.0,48851.6513,77000.0,1.564328669,0.0,0.0,128.8333333,0.0,31.0,
0,4200.0,5902.106741,43874.60622,0.550773408,,1.0,75.43333333,,16.0,
0,3992.429927,57190.15419,82953.0,3.0,0.0,0.0,110.27866259999999,0.0,15.0,43.45058791
0,4200.0,50216.0,58541.0,11.14989333,0.0,0.0,209.87130219999997,0.0,19.0,20.20803267
0,3909.959286,71206.0,30445.662210000002,3.0,0.0,0.0,129.93286899999998,0.0,31.0,34.18137652
0,4300.0,39171.7964,79852.0,0.91303104,0.0,0.0,105.1207088,0.0,14.0,41.80637615
0,4300.0,72021.0,66635.52895,2.0,2.0,0.0,263.9703003,0.0,5.0,36.43209394
0,1925.432261,53969.0,4541.284533,1.8070924780000002,0.0,3.0,162.39001069999998,0.0,30.0,23.58107924
0,4400.0,,60250.0,,,,,,,
1,4400.0,53091.0,64074.0,14.0,1.0,3.0,89.86105825,0.0,17.0,39.15808483
0,4500.0,66127.0,79087.0,2.7674128110000003,1.0,0.0,81.34906509999999,0.0,15.0,40.70530876
0,4500.0,,77182.0,,,,,,,25.227252899999996
1,3373.1401579999997,39000.0,45365.10102,0.230011925,0.0,0.0,170.3666667,1.0,19.0,
0,4500.0,71067.53796,79247.0,4.0,0.0,0.0,118.7604101,0.0,14.0,41.42111052
0,1101.977999,,4593.326014,0.0,0.0,0.0,,0.0,0.0,11.6527388
0,4500.0,57000.0,,3.037856767,,,222.6,1.0,13.0,
1,3824.2955159999997,34184.0,1704.489461,3.5,0.0,1.0,122.6,2.0,22.0,
1,4409.956483,66517.0,56084.20062,7.2396930479999995,0.0,4.0,125.8,0.0,34.0,
0,3267.4081739999997,45500.0,50000.0,6.0,0.0,0.0,86.16666667,0.0,18.0,
1,4500.0,88279.06186,146870.0,4.5,2.0,0.0,203.8666667,1.0,20.0,
1,1191.473572,90000.0,1399.543009,1.289728728,2.0,3.0,80.1,3.0,10.0,
0,4700.0,67913.0,97205.0,2.0,0.0,0.0,142.8243915,0.0,24.0,35.22699719
0,4700.0,46574.90483,88566.0,2.0,2.0,0.0,283.95953810000003,0.0,5.0,36.47547328
0,4700.0,53918.0,59511.0,4.39531023,,0.0,54.13647743,,15.0,34.41650781
1,884.6624168,13863.4249,58238.0,0.1,0.0,0.0,61.8,2.0,17.0,
0,3937.0318490000004,88026.0,115506.0,6.0,0.0,0.0,182.2483316,0.0,27.0,29.20902258
1,4700.0,26900.0,10419.96939,9.0,1.0,2.0,90.46666667,1.0,16.0,
0,4800.0,48682.07262,97191.0,3.0,0.0,0.0,137.31972480000002,0.0,23.0,34.27529378
0,4800.0,56067.0,63102.0,9.0,0.0,3.0,160.1463113,1.0,30.0,21.58376012
0,945.747136,15750.58181,88342.0,3.0553611989999996,0.0,0.0,275.0323948,0.0,11.0,43.71763511
0,581.5479602999999,58688.0,27290.115360000003,9.0,0.0,3.0,179.1625747,2.0,31.0,22.54439284
0,368.6005711,65873.0,51629.03166,0.513927785,0.0,0.0,141.858999,0.0,23.0,37.76961861
1,4900.0,21748.88227,6215.418495,2.177352951,0.0,0.0,101.74676640000001,0.0,8.0,33.24315698
0,4900.0,67794.0,51289.11722,4.0,0.0,0.0,112.57341890000001,0.0,15.0,41.67399636
1,4257.203714,44000.0,59745.0,10.0,0.0,0.0,81.5,3.0,13.0,
0,4900.0,,28437.5,,,,,,,
0,4900.0,170986.0,33356.946789999995,,0.0,0.0,131.9333333,0.0,22.0,
1,840.696447,65576.0,65774.0,6.0,1.0,2.0,61.64250608,1.0,14.0,40.59091002
0,4900.0,57461.0,68494.0,8.0,0.0,4.0,183.6356132,0.0,30.0,22.79542355
0,4900.0,,69706.0,,,,,,,33.70558774
0,5000.0,,16558.09639,,,,,,,33.35465263
0,5000.0,23232.73801,61690.0,5.0,,0.0,65.03296901,,16.0,36.69941492
0,5000.0,25714.47439,87168.0,3.348003184,0.0,0.0,122.59722260000001,0.0,15.0,40.61677935
0,5000.0,12457.0,53448.0,,0.0,0.0,207.14348130000002,0.0,12.0,44.10795169
0,1331.320913,90059.0,88372.03672999999,7.0,0.0,0.0,193.6364469,0.0,28.0,25.89731648
1,5000.0,613.6024778,34900.0,10.0,0.0,0.0,65.7,1.0,5.0,
1,5000.0,6589.2674990000005,70500.0,0.4,0.0,0.0,61.76666667,2.0,8.0,
1,5000.0,10731.61288,102700.0,1.2434027859999999,0.0,1.0,58.86666667,0.0,16.0,
1,5000.0,31000.0,47350.0,9.825470817000001,,,,,,
1,3927.40285,49416.18889,126500.0,3.0,0.0,0.0,100.3,0.0,14.0,
1,4131.849018999999,98197.94627999999,129693.5,7.086179582000001,,,,,,
1,5000.0,,132000.0,17.5,0.0,2.0,121.9,0.0,14.0,
1,5000.0,,9100.0,1.0,0.0,0.0,54.73333333,2.0,8.0,
1,5000.0,34200.0,50830.0,4.816355436,0.0,0.0,57.0,1.0,9.0,
1,5000.0,,71277.0,3.341824302,0.0,0.0,72.43333333,1.0,12.0,
1,5000.0,123000.0,122094.4958,9.0,,,,,,
0,4197.957972,16600.0,25250.0,6.0,0.0,0.0,88.7,1.0,3.0,
0,1854.054731,,52000.0,,0.0,1.0,285.3333333,0.0,6.0,
0,5000.0,22700.0,2342.955519,3.580864753,0.0,0.0,74.63333333,3.0,9.0,
1,5000.0,75.84138218,20007.703080000003,2.074575392,0.0,1.0,335.03333330000004,3.0,42.0,
1,1228.197385,,20445.84591,19.0,,,,,,
1,1877.695677,,94119.0,19.0,,,,,,
0,5000.0,73126.0,10544.7982,1.0,0.0,0.0,125.96666670000002,2.0,10.0,
0,5000.0,54623.82057999999,86250.0,5.601620647000001,0.0,1.0,300.3666667,1.0,24.0,
0,5000.0,26037.0,35000.0,12.0,0.0,0.0,182.6333333,0.0,13.0,
0,5000.0,39000.0,50340.0,3.646199696,,,179.83333330000002,,19.0,
0,3792.0447990000002,,26550.0,0.681391303,0.0,0.0,276.96666669999996,1.0,14.0,
0,5000.0,70470.0,34388.165839999994,5.0,,,,,,
0,5000.0,,34137.972480000004,2.566525774,0.0,0.0,266.8,1.0,26.0,
0,3897.7442100000003,74225.0,33871.73502,0.3,,,,,,
1,989.0560997000001,,65400.0,0.666057221,0.0,0.0,51.76666667,0.0,4.0,
1,2479.1311579999997,,37500.0,,0.0,3.0,107.13333329999999,10.0,5.0,
0,5000.0,14537.89984,98500.0,24.0,0.0,0.0,51.76666667,3.0,14.0,
0,1895.4458960000002,59900.0,80800.0,15.0,0.0,0.0,219.1333333,1.0,18.0,
1,4250.361435,10171.0,26809.0,13.0,3.0,6.0,228.3,0.0,24.0,
1,589.2631251,15082.48459,25768.39862,5.865500214,0.0,0.0,133.9,1.0,34.0,
1,5000.0,18726.47019,28145.753189999996,6.0,5.0,3.0,122.76666670000002,5.0,28.0,
1,5000.0,68000.0,75616.0,0.037655801,0.0,0.0,131.86666670000002,0.0,30.0,
1,1694.7531760000002,71571.0,85100.0,0.523913443,0.0,1.0,82.13333333,0.0,13.0,
1,10.21181699,23567.607780000002,15220.93227,2.0,1.0,0.0,222.2,1.0,6.0,
1,290.83065939999994,40000.0,23712.95578,8.0,3.0,2.0,163.3666667,1.0,16.0,
1,5000.0,40016.75397,,0.478650444,1.0,2.0,144.06666669999998,2.0,17.0,
0,5000.0,42091.32853,59375.0,8.718049013,,,178.6925087,,19.0,26.44819746
1,3925.428835,61999.0,75021.3,5.0,0.0,0.0,97.1,0.0,23.0,
0,5000.0,13230.13403,97275.0,1.0,0.0,0.0,120.6750632,2.0,10.0,37.51270841
0,5000.0,68739.0,93435.0,3.0,0.0,0.0,148.7204047,0.0,23.0,36.66927861
0,5000.0,19544.219080000003,31978.923130000003,3.6776553880000002,,1.0,69.1074656,,15.0,35.02507297
1,3357.6442009999996,46696.0,85202.0,2.0,1.0,2.0,148.3406455,0.0,14.0,46.489874
0,5000.0,,42610.27021,2.0,0.0,0.0,257.6522064,0.0,26.0,40.95258888
0,5000.0,66435.0,21483.20533,2.0,0.0,0.0,125.1306256,0.0,14.0,42.18353867
0,393.06215430000003,179725.0,31016.7713,,0.0,0.0,127.4988134,0.0,22.0,40.30825936
0,404.4783519,85583.0,86363.69202999999,2.184850187,0.0,0.0,177.9582551,1.0,28.0,26.25797013
0,190.55256459999998,25840.1992,80691.0,1.0,1.0,0.0,273.88170519999994,0.0,6.0,39.85214652
1,5100.0,19159.17267,46735.0,6.5201076239999995,0.0,0.0,69.0,0.0,17.0,
0,5100.0,,26715.0,1.0,0.0,0.0,258.7892976,0.0,14.0,26.72234334
0,5100.0,53340.95394,58581.00447000001,5.918651705,0.0,0.0,181.66304019999998,0.0,28.0,25.44475915
0,5100.0,,28291.0,2.0,0.0,0.0,277.9445608,1.0,14.0,23.64469128
1,788.026693,9900.0,30451.0,9.027054455,0.0,0.0,21.2,0.0,2.0,
0,5100.0,93000.0,116875.0,10.0,,,417.6333333,2.0,50.0,
1,2722.655776,15500.0,34000.0,0.0,1.0,2.0,86.23333333,2.0,13.0,
1,5100.0,115516.8741,141875.0,7.0,1.0,0.0,157.8598021,0.0,36.0,25.65074122
1,3081.625706,66834.0,87361.0,0.0,2.0,0.0,290.034108,0.0,6.0,38.76698507
1,5100.0,73882.0,96031.0,0.0,0.0,0.0,125.7874001,1.0,10.0,34.44607922
0,2245.38344,25934.78023,97064.0,0.0,0.0,0.0,121.0759726,2.0,9.0,36.40172955
0,5100.0,62702.0,79784.0,2.0,0.0,0.0,108.0725908,0.0,15.0,43.29013982
0,5200.0,,36425.0,0.576134371,0.0,0.0,266.8134646,1.0,14.0,23.79740106
0,1604.4163429999999,67000.0,77000.0,5.513948989,0.0,1.0,119.7,0.0,25.0,
1,2744.032766,43039.0,53521.0,11.0,,,184.2966873,,19.0,24.41476318
0,1608.310298,19000.0,26000.0,0.0,1.0,0.0,17.2,10.0,7.0,
1,5200.0,,3392.673753,0.840118142,0.0,1.0,81.1,1.0,2.0,
0,5164.294978,91250.0,73985.75383,24.0,0.0,0.0,123.76666670000002,1.0,12.0,
0,5200.0,16324.0,18562.95525,,0.0,0.0,221.11808169999998,0.0,11.0,42.71209384
1,5200.0,13614.796330000001,39527.0,0.0,0.0,0.0,157.77103569999997,1.0,13.0,72.67043331
0,5300.0,73698.0,84427.0,0.601451109,,,,,,19.13120118
0,817.5893469,66987.0,65111.0,4.0,1.0,0.0,175.32870380000003,1.0,22.0,40.44257039
1,5300.0,26908.0,16090.48302,,0.0,0.0,302.35870950000003,0.0,8.0,39.1969854
0,5300.0,,38595.3132,0.0,0.0,0.0,,0.0,0.0,12.04367058
0,5300.0,44993.0,3651.77261,1.672896736,,,184.74276719999997,,18.0,27.90612273
1,3782.708632,51000.0,19922.21714,10.0,1.0,0.0,98.33333333,0.0,12.0,
0,291.89861099999996,75958.0,85689.84023999999,0.0,0.0,0.0,124.18217879999999,1.0,10.0,34.59906019
0,5300.0,97132.0,117343.0,1.356736809,0.0,0.0,109.93390790000001,1.0,11.0,35.838542700000005
0,5300.0,60826.0,80826.0,6.607978328,,1.0,212.8917461,0.0,25.0,38.59149403
0,5300.0,49637.48231,96809.0,0.0,,,,,,28.42396191
0,679.5797931,47449.0,27968.70049,18.57981472,0.0,0.0,208.162714,0.0,20.0,19.7621137
0,5300.0,50550.999189999995,62957.0,21.0,0.0,0.0,197.2419573,0.0,20.0,19.35050563
0,2330.265414,53429.0,64505.0,5.0,,0.0,69.54243011,,16.0,36.480236299999994
0,5400.0,,56441.28599,1.0,0.0,0.0,40.709849,0.0,4.0,37.84877104
0,1931.666535,47844.0,52040.0,8.0,,,189.03430459999998,,18.0,24.70113626
1,2061.4810190000003,45509.0,57453.0,4.0,0.0,0.0,95.6,0.0,22.0,
1,5400.0,59720.0,60930.424660000004,5.0,0.0,1.0,199.9,1.0,20.0,
0,4813.264121,86922.0,51709.7632,3.3561986000000004,0.0,0.0,185.0763473,1.0,28.0,26.354889299999996
1,5400.0,18467.60405,9750.933743000001,2.0,0.0,0.0,136.63294419999997,0.0,30.0,32.05002349
0,5400.0,65814.0,85848.0,4.0,0.0,0.0,122.94028859999999,0.0,15.0,44.09232568
0,5400.0,,62448.29396,,,,,,,23.16374295
1,5400.0,71324.70013,88000.0,8.0,0.0,0.0,102.5,3.0,19.0,
1,5119.5900090000005,48152.0,55760.0,2.9373118710000004,,0.0,78.45212577,,16.0,35.763638
0,1850.501907,70481.0,82446.0,7.636954084,0.0,1.0,116.5919769,0.0,24.0,37.61268272
0,4091.6884159999995,,35402.0,,,,,,,35.27207374
0,5059.651575,87765.0,101053.0,22.0,0.0,0.0,55.55804904,2.0,13.0,31.37554242
0,5500.0,52897.0,65054.0,20.0,0.0,0.0,189.2953185,0.0,19.0,20.6541289
1,5500.0,24700.0,35675.0,0.592494645,0.0,3.0,153.93333330000002,3.0,27.0,
1,5500.0,,35510.25847,,,,,,,
0,5500.0,43486.0,68794.3342,2.566334629,0.0,0.0,216.1333333,4.0,30.0,
1,2279.522242,21359.0,30000.0,4.766886468,3.0,2.0,130.8,3.0,14.0,
1,5500.0,,13770.0,5.0,0.0,1.0,167.3666667,1.0,8.0,
0,5500.0,28905.01157,51708.19946,1.7912216909999998,0.0,0.0,187.02051880000002,1.0,27.0,27.64674851
0,5500.0,45251.19727,116679.0,3.504878994,0.0,0.0,186.42441599999998,1.0,27.0,28.4175309
0,1335.214255,78059.0,78179.0,0.9116117009999999,,,,,,20.67931358
0,5500.0,72147.0,69918.0,4.0,2.0,0.0,158.5344979,0.0,23.0,43.40443024
1,4043.4142939999997,40584.0,46645.0,2.308973626,0.0,1.0,136.3206375,0.0,13.0,34.49470897
1,5500.0,,9569.317304,1.0,0.0,1.0,82.29426635,0.0,2.0,36.986744099999996
1,2244.7862210000003,9390.631603,41410.12937,0.15630198,0.0,2.0,48.995845,0.0,10.0,33.12648397
0,5500.0,,66251.0,1.0,0.0,0.0,43.72233695,0.0,3.0,41.45204353
0,3466.000115,71644.0,72696.0,0.41836166399999997,2.0,0.0,150.8658451,0.0,22.0,40.44256779
1,5500.0,8443.188071999999,3433.3347329999997,3.437305274,0.0,0.0,172.2132767,1.0,26.0,32.67664088
0,5600.0,16682.85023,2006.747777,22.0,0.0,0.0,206.09913410000001,0.0,19.0,18.36954053
0,1062.439658,69435.0,83489.0,14.0,0.0,0.0,200.41843400000002,1.0,17.0,22.84109285
0,1467.923157,29648.0,39907.0,7.6935136029999995,0.0,0.0,180.56306909999998,0.0,13.0,21.55494966
0,130.4229618,76407.0,12212.29717,9.0,0.0,0.0,91.68377063,0.0,24.0,37.77335098
1,3827.968949,5000.0,35269.2486,3.1163768339999995,1.0,1.0,204.06666669999998,0.0,11.0,
1,5600.0,55160.0,20296.07763,3.0,1.0,1.0,148.1333333,1.0,14.0,
0,1070.567425,41439.0,53893.0,2.3518233680000002,,,181.3229899,,19.0,24.65139574
0,5600.0,6447.259988000001,47954.0,,0.0,0.0,204.335245,0.0,12.0,42.39776964
0,3494.162069,100934.0,12722.27878,23.0,0.0,0.0,117.4995929,0.0,12.0,38.75056267
0,4965.861802,,74685.0,,,,,,,24.27486528
0,3166.55165,45066.08627,58249.0,21.0,0.0,0.0,212.5391151,0.0,21.0,21.25802688
0,5700.0,76948.0,85753.0,7.0,0.0,0.0,128.4764515,0.0,25.0,37.85968784
0,5700.0,22478.2466,36524.0,8.260376788,0.0,0.0,181.28295680000002,0.0,13.0,24.33953357
0,5700.0,,68591.0,0.0,0.0,0.0,69.64566047,0.0,4.0,41.18503956
0,5700.0,26927.0,15900.21221,0.0,1.0,0.0,21.79935215,10.0,6.0,29.43966424
0,5700.0,49806.0,65947.40499,3.0,0.0,0.0,210.3474786,3.0,30.0,31.2434087
1,752.5727574,70000.0,84579.0,0.044283457000000005,0.0,0.0,95.9,1.0,17.0,
1,4594.651392,58400.0,21168.83681,3.3799486439999997,0.0,0.0,177.5,2.0,26.0,
1,5700.0,80437.0,109647.0,9.5,0.0,0.0,104.4,0.0,14.0,
1,5700.0,77213.0,54763.64513,0.0,0.0,0.0,97.13317095,1.0,16.0,41.77788863
0,5700.0,16372.49293,82923.0,4.0,0.0,0.0,117.6739652,0.0,15.0,42.46486629
1,5147.003211,10031.60749,79538.0,0.8697838,0.0,0.0,92.64308456,0.0,15.0,41.21001247
0,3267.1811989999997,,39052.0,0.15536013199999998,0.0,0.0,272.22062830000004,0.0,25.0,39.89610462
1,5700.0,74172.0,27924.95247,0.0,0.0,0.0,157.0097747,0.0,28.0,47.41522866
0,5700.0,10084.32768,33450.0,0.0,1.0,0.0,15.39658739,9.0,7.0,30.017013300000002
0,4715.253621,,64910.0,,,,,,,33.85046122
0,5700.0,,44495.286680000005,0.072771895,0.0,0.0,48.85366706,0.0,3.0,38.77368596
0,5800.0,,36385.0,2.0,0.0,0.0,266.5533944,1.0,25.0,43.30976454
0,5800.0,,41119.0,2.0,0.0,0.0,261.40521859999996,0.0,26.0,42.19194156
0,5800.0,75000.0,90543.0,18.0,0.0,0.0,300.4872058,1.0,23.0,38.94057536
0,521.9054566000001,79296.0,86885.0,1.914381232,0.0,1.0,307.9748816,1.0,23.0,39.95910877
1,5800.0,27791.0,3683.882021,1.334980922,0.0,0.0,83.28906275,1.0,13.0,30.18780539
0,2252.933462,172595.0,250155.0,,0.0,0.0,126.40098359999999,0.0,21.0,43.20775979
0,1926.856102,,34704.0,,,,,,,34.17405555
0,5800.0,,73804.0,1.0,0.0,0.0,71.76655716,0.0,4.0,41.28742339
0,4506.210789,46595.0,45054.30646,5.0,0.0,0.0,80.13174641,0.0,17.0,24.14015367
1,5456.868278,,19126.43897,0.920099765,2.0,1.0,36.76666667,1.0,8.0,
0,4382.824835,34060.30458,59012.56472,7.0,0.0,0.0,120.3794143,0.0,24.0,41.44250046
1,5900.0,,12992.59337,,0.0,0.0,238.6,1.0,2.0,
0,5900.0,,12077.22746,1.0,0.0,0.0,,0.0,0.0,12.74918065
0,5000.729461,11782.87292,91175.0,2.0,,,,,,27.59527352
