BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,P_BAD1,P_BAD0,EM_PROBABILITY,EM_PROBABILITY
1,3200,27200,40834,HomeImp,Other,,0,0,298.131564,0,7,35.55353879,0.106149958,0.893850042,0.893850042,0
1,3200,15917.65039,64850,HomeImp,Other,1,0,0,121.8666667,3,21,,0.106149958,0.893850042,0.893850042,0
0,3200,74864,87266,HomeImp,ProfExe,1.186386982,0,0,250.6312692,0,12,42.90999735,0.09995045,0.90004955,0.90004955,0
1,3200,23159,,HomeImp,Mgr,20,,2,117.8057478,0,9,0.524499215,0.106149958,0.893850042,0.893850042,0
1,3300,37295.75925,134527,HomeImp,Sales,9,1,0,139,0,36,,0.106149958,0.893850042,0.893850042,0
1,3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919,0.617528634,0.382471366,0.617528634,0
1,3400,37000,52000,HomeImp,Office,2,0,1,183.2999156,0,6,,0.106149958,0.893850042,0.893850042,0
1,3500,23200,38666,HomeImp,Other,11,0,0,162.3666667,0,14,,0.106149958,0.893850042,0.893850042,0
1,3500,19400,20494,HomeImp,Other,5,0,0,95.93333333,0,9,,0.106149958,0.893850042,0.893850042,0
1,3600,61584,61800,HomeImp,ProfExe,10,,,,,,,0.106149958,0.893850042,0.893850042,0
1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.03333333,2,4,,0.106149958,0.893850042,0.893850042,0
0,3600,83700,111800,HomeImp,ProfExe,6,0,0,192.7333333,1,28,,0.106149958,0.893850042,0.893850042,0
0,3600,61327,76484,HomeImp,Mgr,9,,2,202.5107752,0,25,41.5163897,0.106149958,0.893850042,0.893850042,0
0,3600,100693,114743,HomeImp,Office,6,0,0,88.47045214,0,14,29.39354338,0.053774888,0.946225112,0.946225112,0
1,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,,0.106149958,0.893850042,0.893850042,0
0,3600,52337,63989,HomeImp,Office,20,0,0,204.2724988,0,20,20.47091551,0.019930217,0.980069783,0.980069783,0
1,3700,17857,21144,HomeImp,Other,5,0,0,129.7173231,1,9,26.63434752,0.065092506,0.934907495,0.934907495,0
1,3800,7818.240259,97692,HomeImp,Mgr,1.6,1,6,252.6333333,1,25,,0.106149958,0.893850042,0.893850042,0
0,3800,51180,63459,HomeImp,Office,20,0,0,203.7515336,0,20,20.06704205,0.019465499,0.980534502,0.980534502,0
0,3800,,73189,,,,,,,,,22.25394916,0.106149958,0.893850042,0.893850042,0
0,3800,11543,46045,HomeImp,Self,,0,0,204.6479917,0,11,42.17316588,0.106149958,0.893850042,0.893850042,0
1,3900,29896,45960,HomeImp,Other,11,0,0,146.1232422,0,14,24.47888119,0.044059396,0.955940604,0.955940604,0
1,3900,12455.92979,22092,HomeImp,Other,3.5,0,1,150.3,5,8,,0.106149958,0.893850042,0.893850042,0
0,3900,52825,63000,DebtCon,ProfExe,8,0,4,171.6666667,1,31,,0.106149958,0.893850042,0.893850042,0
0,3900,102143,118742,HomeImp,Office,2,0,0,85.27736558,0,13,29.34392109,0.056159855,0.943840145,0.943840145,0
0,3900,21200,39000,DebtCon,Mgr,2.589646108,0,1,86.56666667,2,14,,0.106149958,0.893850042,0.893850042,0
0,4000,105164,112774,HomeImp,Office,1,0,0,94.72487417,0,13,29.39092806,0.053616928,0.946383072,0.946383072,0
0,4000,54543,61777,HomeImp,Office,21,0,0,205.58668,0,19,21.80656346,0.021564295,0.978435706,0.978435706,0
1,4000,,80609,HomeImp,Other,1.5,0,2,126.5333333,3,12,,0.106149958,0.893850042,0.893850042,0
1,4000,26572,31960,HomeImp,Office,11,0,0,117.7951039,0,8,41.28649195,0.126641825,0.873358175,0.873358175,0
1,4000,17000,52012,HomeImp,ProfExe,22,3,1,85.33333333,1,9,,0.106149958,0.893850042,0.893850042,0
1,4000,29562,37200,DebtCon,Other,6,0,0,92.13333333,1,26,,0.106149958,0.893850042,0.893850042,0
1,4000,41700,76725,HomeImp,Other,0.5,0,3,136.1333333,0,15,,0.106149958,0.893850042,0.893850042,0
1,4000,58000,69440,HomeImp,Other,3.5,0,1,168.6666667,0,18,,0.106149958,0.893850042,0.893850042,0
1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,,0.106149958,0.893850042,0.893850042,0
1,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,,0.106149958,0.893850042,0.893850042,0
1,4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,,0.106149958,0.893850042,0.893850042,0
0,1095.802922,66000,79050,HomeImp,Other,1.584383608,2,0,279,1,6,,0.106149958,0.893850042,0.893850042,0
0,670.5468542,,45760,HomeImp,,0,0,0,,0,0,,0.106149958,0.893850042,0.893850042,0
0,4000,62000,78000,HomeImp,Other,4,0,0,109.5666667,0,15,,0.106149958,0.893850042,0.893850042,0
0,4000,64240,58680.82357,HomeImp,Sales,5,2,0,160.3,1,23,,0.106149958,0.893850042,0.893850042,0
1,4000,74000,77003.4311,HomeImp,ProfExe,2.350523985,1,3,186.6333333,,9,,0.106149958,0.893850042,0.893850042,0
1,4000,55000,59000,DebtCon,Other,1.882053244,2,0,146.1,0,22,,0.106149958,0.893850042,0.893850042,0
0,4000,67625,77252.38151,HomeImp,Mgr,11,,1,212.3493039,0,25,39.12871763,0.106149958,0.893850042,0.893850042,0
0,4000,26363.43162,71865,HomeImp,Mgr,10,,2,227.7929884,0,25,39.1663287,0.106149958,0.893850042,0.893850042,0
1,4100,,19132,HomeImp,Other,0,0,0,100.7746522,0,19,33.8409199,0.106149958,0.893850042,0.893850042,0
1,4100,58500,35258.66288,HomeImp,Other,1.226472453,1,2,63.93333333,2,15,,0.106149958,0.893850042,0.893850042,0
0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505037,1,31,22.27817437,0.189821847,0.810178154,0.810178154,0
0,4200,56544,59218,HomeImp,Office,19,0,0,211.0025991,1,20,19.02770443,0.019492901,0.9805071,0.9805071,0
1,4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,,0.106149958,0.893850042,0.893850042,0
0,4200,67700,4547.035613,DebtCon,Sales,4,0,0,128.8333333,0,31,,0.106149958,0.893850042,0.893850042,0
0,4200,44000,55085,DebtCon,,6,,1,75.43333333,,16,,0.106149958,0.893850042,0.893850042,0
0,4200,66272,82953,HomeImp,Other,3,0,0,110.2786626,0,15,43.45058791,0.161620534,0.838379466,0.838379466,0
0,4200,50216,58541,HomeImp,Office,19,0,0,209.8713022,0,19,20.20803267,0.019487444,0.980512556,0.980512556,0
0,4300,71206,78698,DebtCon,Sales,1.324530935,0,0,129.932869,0,31,34.18137652,0.133441602,0.866558398,0.866558398,0
0,4300,68815,79852,HomeImp,Other,6,0,0,105.1207088,0,14,41.80637615,0.144440635,0.855559365,0.855559365,0
0,4300,72021,80027,HomeImp,Other,2,2,0,263.9703003,0,5,36.43209394,0.170848468,0.829151532,0.829151532,0
0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.3900107,0,30,23.58107924,0.119767392,0.880232608,0.880232608,0
0,4400,,60250,,,,,,,,,,0.106149958,0.893850042,0.893850042,0
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483,0.464997227,0.535002773,0.535002773,0
0,4500,66127,79087,HomeImp,Other,4,1,0,81.3490651,0,15,40.70530876,0.20785166,0.792148341,0.792148341,0
0,4500,,77182,,,,,,,,,25.2272529,0.106149958,0.893850042,0.893850042,0
1,197.5489835,6765.04705,66000,HomeImp,Other,0.741048189,0,0,170.3666667,1,19,,0.106149958,0.893850042,0.893850042,0
0,2099.658049,71082,79247,HomeImp,Other,4,0,0,118.7604101,0,14,41.42111052,0.137186503,0.862813497,0.862813497,0
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.6527388,0.106149958,0.893850042,0.893850042,0
1,4500,57000,,HomeImp,Other,5,,,222.6,1,13,,0.106149958,0.893850042,0.893850042,0
1,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,,0.106149958,0.893850042,0.893850042,0
1,4500,66517,81040.82162,DebtCon,ProfExe,10,0,4,125.8,0,34,,0.106149958,0.893850042,0.893850042,0
0,4500,45500,50000,HomeImp,Other,6,0,0,86.16666667,0,18,,0.106149958,0.893850042,0.893850042,0
1,4500,118000,146870,HomeImp,ProfExe,2.342300909,2,0,203.8666667,1,20,,0.106149958,0.893850042,0.893850042,0
1,4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,,0.106149958,0.893850042,0.893850042,0
0,4700,67913,97205,,Mgr,2,0,0,142.8243915,0,24,35.22699719,0.106149958,0.893850042,0.893850042,0
0,4700,71855,88566,HomeImp,Other,2,2,0,283.9595381,0,5,36.47547328,0.167353686,0.832646314,0.832646314,0
0,4700,53918,59511,DebtCon,,6,,0,54.13647743,,15,34.41650781,0.106149958,0.893850042,0.893850042,0
1,4700,49100,58238,HomeImp,ProfExe,0.039345175,0,0,61.8,2,17,,0.106149958,0.893850042,0.893850042,0
0,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.2483316,0,27,29.20902258,0.039188935,0.960811066,0.960811066,0
0,4700,26900,45000,HomeImp,ProfExe,9,1,2,90.46666667,1,16,,0.106149958,0.893850042,0.893850042,0
0,4800,67317,97191,,Mgr,3,0,0,137.3197248,0,23,34.27529378,0.106149958,0.893850042,0.893850042,0
0,1856.961785,56067,63102,DebtCon,ProfExe,9,0,3,160.1463113,1,30,21.58376012,0.116970866,0.883029134,0.883029134,0
0,4800,80482,88342,HomeImp,ProfExe,7,0,0,275.0323948,0,11,43.71763511,0.094801792,0.905198208,0.905198208,0
0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1625747,2,31,22.54439284,0.129529556,0.870470444,0.870470444,0
0,4900,65873,90408,,Mgr,2,0,0,141.858999,0,23,37.76961861,0.106149958,0.893850042,0.893850042,0
1,1923.743108,25597,23031,HomeImp,Other,5,0,0,101.7467664,0,8,33.24315698,0.094556628,0.905443372,0.905443372,0
0,4900,67794,84630,HomeImp,Other,4,0,0,112.5734189,0,15,41.67399636,0.14300244,0.85699756,0.85699756,0
1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,,0.106149958,0.893850042,0.893850042,0
0,4900,,28437.5,HomeImp,,,,,,,,,0.106149958,0.893850042,0.893850042,0
1,4900,170986,245300,DebtCon,Sales,,0,0,131.9333333,0,22,,0.106149958,0.893850042,0.893850042,0
1,4900,65576,65774,HomeImp,Other,6,1,2,61.64250608,1,14,40.59091002,0.473378119,0.526621881,0.526621881,0
0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.6356132,0,30,22.79542355,0.172034272,0.827965728,0.827965728,0
0,4900,,69706,,,,,,,,,33.70558774,0.106149958,0.893850042,0.893850042,0
0,5000,,30504.45536,HomeImp,,,,,,,,33.35465263,0.106149958,0.893850042,0.893850042,0
0,5000,47479,37481.0768,DebtCon,,1.627569602,,0,65.03296901,,16,36.69941492,0.106149958,0.893850042,0.893850042,0
0,5000,2476.660241,87168,HomeImp,Other,4,0,0,122.5972226,0,15,40.61677935,0.173067609,0.826932391,0.826932391,0
0,5000,12457,34455.03856,HomeImp,Self,,0,0,207.1434813,0,12,44.10795169,0.106149958,0.893850042,0.893850042,0
0,3630.453527,90059,113714,HomeImp,ProfExe,7,0,0,193.6364469,0,28,25.89731648,0.02931516,0.97068484,0.97068484,0
1,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,,0.106149958,0.893850042,0.893850042,0
1,5000,10590.8762,70500,HomeImp,Mgr,0.005291278,0,0,61.76666667,2,8,,0.106149958,0.893850042,0.893850042,0
1,5000,100882,102700,HomeImp,Mgr,5,0,1,58.86666667,0,16,,0.106149958,0.893850042,0.893850042,0
1,5000,31000,47350,HomeImp,ProfExe,12,,,,,,,0.106149958,0.893850042,0.893850042,0
1,5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,,0.106149958,0.893850042,0.893850042,0
1,5000,73255.1705,129693.5,HomeImp,Mgr,13,,,,,,,0.106149958,0.893850042,0.893850042,0
1,5000,,132000,HomeImp,Other,17.5,0,2,121.9,0,14,,0.106149958,0.893850042,0.893850042,0
1,5000,,9100,HomeImp,Other,1,0,0,54.73333333,2,8,,0.106149958,0.893850042,0.893850042,0
1,5000,34200,50830,HomeImp,Other,1.389329252,0,0,57,1,9,,0.106149958,0.893850042,0.893850042,0
1,5000,,71277,HomeImp,Other,10,0,0,72.43333333,1,12,,0.106149958,0.893850042,0.893850042,0
1,5000,123000,157500,HomeImp,Mgr,9,,,,,,,0.106149958,0.893850042,0.893850042,0
1,5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,,0.106149958,0.893850042,0.893850042,0
1,5000,,52000,HomeImp,Other,,0,1,285.3333333,0,6,,0.106149958,0.893850042,0.893850042,0
1,5000,22700,34225,HomeImp,Other,4,0,0,74.63333333,3,9,,0.106149958,0.893850042,0.893850042,0
1,5000,6000,38575,HomeImp,Self,4.297020422,0,1,335.0333333,3,42,,0.106149958,0.893850042,0.893850042,0
1,5000,,74500,HomeImp,Other,19,,,,,,,0.106149958,0.893850042,0.893850042,0
1,5000,,94119,HomeImp,Other,19,,,,,,,0.106149958,0.893850042,0.893850042,0
0,5000,73126,87500,DebtCon,Other,1,0,0,125.9666667,2,10,,0.106149958,0.893850042,0.893850042,0
0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.3666667,1,24,,0.106149958,0.893850042,0.893850042,0
0,5000,26037,35000,HomeImp,ProfExe,12,0,0,182.6333333,0,13,,0.106149958,0.893850042,0.893850042,0
0,300.047882,39000,50340,HomeImp,Office,10,,,179.8333333,,19,,0.106149958,0.893850042,0.893850042,0
0,5000,,26550,DebtCon,Other,1.7,0,0,276.9666667,1,14,,0.106149958,0.893850042,0.893850042,0
0,5000,70470,77908,DebtCon,,5,,,,,,,0.106149958,0.893850042,0.893850042,0
0,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,,0.106149958,0.893850042,0.893850042,0
0,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,,0.106149958,0.893850042,0.893850042,0
0,5000,,65400,HomeImp,Office,1.5,0,0,51.76666667,0,4,,0.106149958,0.893850042,0.893850042,0
1,1132.922664,,37500,HomeImp,Other,,0,3,107.1333333,10,5,,0.106149958,0.893850042,0.893850042,0
0,5000,78565,98500,DebtCon,ProfExe,24,0,0,51.76666667,3,14,,0.106149958,0.893850042,0.893850042,0
0,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.1333333,1,18,,0.106149958,0.893850042,0.893850042,0
1,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,,0.106149958,0.893850042,0.893850042,0
1,5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,,0.106149958,0.893850042,0.893850042,0
1,5000,66185.38182,107940,HomeImp,Mgr,6,5,3,122.7666667,5,28,,0.106149958,0.893850042,0.893850042,0
1,5000,34151.06538,75616,DebtCon,ProfExe,0.1,0,0,131.8666667,0,30,,0.106149958,0.893850042,0.893850042,0
1,5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.13333333,0,13,,0.106149958,0.893850042,0.893850042,0
1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,,0.106149958,0.893850042,0.893850042,0
1,5000,40000,32480,HomeImp,Other,8,3,2,163.3666667,1,16,,0.106149958,0.893850042,0.893850042,0
1,5000,81748,,DebtCon,ProfExe,14,1,2,144.0666667,2,17,,0.106149958,0.893850042,0.893850042,0
0,5000,44674,59375,HomeImp,Office,10,,,178.6925087,,19,26.44819746,0.106149958,0.893850042,0.893850042,0
1,5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,,0.106149958,0.893850042,0.893850042,0
0,2725.453685,80153,97275,DebtCon,Other,1,0,0,120.6750632,2,10,37.51270841,0.136440472,0.863559528,0.863559528,0
0,5000,68739,93435,,Mgr,3,0,0,148.7204047,0,23,36.66927861,0.106149958,0.893850042,0.893850042,0
0,5000,51209,55320,DebtCon,,5,,1,69.1074656,,15,35.02507297,0.106149958,0.893850042,0.893850042,0
1,5000,46696,85202,HomeImp,Other,2,1,2,148.3406455,0,14,46.489874,0.532891215,0.467108785,0.532891215,0
0,4756.064883,,46281,HomeImp,Other,2,0,0,257.6522064,0,26,40.95258888,0.106149958,0.893850042,0.893850042,0
0,5000,66435,82819,HomeImp,Other,2,0,0,125.1306256,0,14,42.18353867,0.146537684,0.853462316,0.853462316,0
0,5100,179725,251962,DebtCon,Sales,,0,0,127.4988134,0,22,40.30825936,0.106149958,0.893850042,0.893850042,0
0,5100,12523.27211,115341,HomeImp,ProfExe,7,0,0,177.9582551,1,28,26.25797013,0.051267285,0.948732715,0.948732715,0
0,5100,72891,62205.57211,HomeImp,Other,1,1,0,273.8817052,0,6,39.85214652,0.133278722,0.866721278,0.866721278,0
0,990.6883101,30755,34077.34566,HomeImp,Other,10,0,0,69,0,17,,0.106149958,0.893850042,0.893850042,0
0,5100,,7917.4688,DebtCon,Other,1,0,0,258.7892976,0,14,26.72234334,0.106149958,0.893850042,0.893850042,0
0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.6630402,0,28,25.44475915,0.03044816,0.969551841,0.969551841,0
0,5100,,28291,DebtCon,Other,0.864689355,0,0,277.9445608,1,14,23.64469128,0.106149958,0.893850042,0.893850042,0
1,5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,,0.106149958,0.893850042,0.893850042,0
0,5100,93000,116875,HomeImp,Other,10,,,417.6333333,2,50,,0.106149958,0.893850042,0.893850042,0
1,5100,15500,34000,DebtCon,Other,0,1,2,86.23333333,2,13,,0.106149958,0.893850042,0.893850042,0
1,5100,129319,141875,HomeImp,Sales,7,1,0,157.8598021,0,36,25.65074122,0.095076477,0.904923523,0.904923523,0
0,5100,66834,87361,HomeImp,Other,0,2,0,290.034108,0,6,38.76698507,0.192211423,0.807788578,0.807788578,0
0,5100,56032.77077,96031,DebtCon,Other,0,0,0,125.7874001,1,10,34.44607922,0.109675848,0.890324152,0.890324152,0
0,5100,74071,97064,DebtCon,Other,0,0,0,121.0759726,2,9,36.40172955,0.131917189,0.868082811,0.868082811,0
0,5100,62702,79784,HomeImp,Other,2,0,0,108.0725908,0,15,43.29013982,0.162484009,0.837515991,0.837515991,0
0,581.8455015,,36425,DebtCon,Other,2,0,0,266.8134646,1,14,23.79740106,0.106149958,0.893850042,0.893850042,0
0,5200,67000,77000,HomeImp,Other,9,0,1,119.7,0,25,,0.106149958,0.893850042,0.893850042,0
0,5200,43039,53521,HomeImp,Office,11,,,184.2966873,,19,24.41476318,0.106149958,0.893850042,0.893850042,0
1,5200,19000,26000,DebtCon,Other,0,1,0,17.2,10,7,,0.106149958,0.893850042,0.893850042,0
1,5200,,7769.022661,DebtCon,Other,1,0,1,81.1,1,2,,0.106149958,0.893850042,0.893850042,0
0,5200,91250,110000,HomeImp,Office,24,0,0,123.7666667,1,12,,0.106149958,0.893850042,0.893850042,0
0,5200,16324,45187,HomeImp,Self,,0,0,221.1180817,0,11,42.71209384,0.106149958,0.893850042,0.893850042,0
1,5200,40564,39527,HomeImp,Other,0,0,0,157.7710357,1,13,72.67043331,0.621946325,0.378053675,0.621946325,0
0,5300,73698,84427,DebtCon,,4,,,,,,19.13120118,0.106149958,0.893850042,0.893850042,0
0,5300,66987,65111,HomeImp,Sales,4,1,0,175.3287038,1,22,40.44257039,0.301996789,0.698003211,0.698003211,0
1,5300,26908,36078,HomeImp,Other,,0,0,302.3587095,0,8,39.1969854,0.106149958,0.893850042,0.893850042,0
0,5300,,49396,HomeImp,,0,0,0,,0,0,12.04367058,0.106149958,0.893850042,0.893850042,0
0,5300,44993,50673,HomeImp,Office,7,,,184.7427672,,18,27.90612273,0.106149958,0.893850042,0.893850042,0
1,5300,51000,64000,HomeImp,Mgr,10,1,0,98.33333333,0,12,,0.106149958,0.893850042,0.893850042,0
0,5300,155.133839,91703,DebtCon,Other,0,0,0,124.1821788,1,10,34.59906019,0.139836774,0.860163226,0.860163226,0
0,5300,97132,117343,HomeImp,Office,22,0,0,109.9339079,1,11,35.8385427,0.08548975,0.91451025,0.91451025,0
0,5300,44407.76626,80826,HomeImp,Mgr,10,,1,212.8917461,0,25,38.59149403,0.106149958,0.893850042,0.893850042,0
0,5300,83552,96809,DebtCon,ProfExe,0,,,,,,28.42396191,0.106149958,0.893850042,0.893850042,0
0,5300,47449,63895,HomeImp,Office,19,0,0,208.162714,0,20,19.7621137,0.019246143,0.980753857,0.980753857,0
0,5300,50934,62957,HomeImp,Office,21,0,0,197.2419573,0,20,19.35050563,0.018641274,0.981358726,0.981358726,0
0,5400,53429,64505,DebtCon,,5,,0,69.54243011,,16,36.4802363,0.106149958,0.893850042,0.893850042,0
0,891.3293792,,65474,HomeImp,Office,1,0,0,40.709849,0,4,37.84877104,0.106149958,0.893850042,0.893850042,0
0,5400,47844,52040,HomeImp,Office,8,,,189.0343046,,18,24.70113626,0.106149958,0.893850042,0.893850042,0
1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,,0.106149958,0.893850042,0.893850042,0
1,5400,59720,63450,HomeImp,ProfExe,5,0,1,199.9,1,20,,0.106149958,0.893850042,0.893850042,0
