BAD;LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;DEBTINC;P_BAD1;P_BAD0
1;3509.003015;26572;21287.267035;HomeImp;Office;11;0;0;117.79510387;0;8;41.286491948;0.1232473811;0.8767526189
1;2169.7638697;2606.2539623;52012;HomeImp;ProfExe;22;3;1;85.333333333;1;9;;0.1061499579;0.8938500421
1;4000;1303.3834041;37200;DebtCon;Other;6;0;0;92.133333333;1;26;;0.1061499579;0.8938500421
0;4000;23376.630891;76725;HomeImp;Other;0.4263819346;0;3;136.13333333;0;15;;0.1061499579;0.8938500421
1;4000;58000;4100.5993895;HomeImp;Other;2.8497346525;0;1;168.66666667;0;18;;0.1061499579;0.8938500421
1;2269.2165423;3191.8959491;18000;DebtCon;Other;;0;0;12.2;0;17;;0.1061499579;0.8938500421
1;4000;23779.962831;58350;HomeImp;Mgr;3.5;0;0;162;3;16;;0.1061499579;0.8938500421
1;4000;7000;15003.275733;HomeImp;Other;7.9471856076;0;1;85.8;2;23;;0.1061499579;0.8938500421
0;3391.0419379;8334.6828745;79050;HomeImp;Other;1.8;2;0;279;1;6;;0.1061499579;0.8938500421
0;4000;;45760;HomeImp;;0;0;0;;0;0;;0.1061499579;0.8938500421
0;4000;62000;52488.463341;HomeImp;Other;4;0;0;109.56666667;0;15;;0.1061499579;0.8938500421
0;2368.3594458;64240;39270.414393;HomeImp;Sales;2.1847389113;2;0;160.3;1;23;;0.1061499579;0.8938500421
1;4000;74000;64845.563881;HomeImp;ProfExe;0.5230630747;1;3;186.63333333;;9;;0.1061499579;0.8938500421
1;4000;36921.127349;2590.0866723;DebtCon;Other;2.0815529386;2;0;146.1;0;22;;0.1061499579;0.8938500421
0;2964.192755;67625;37652.934501;HomeImp;Mgr;2.3567076369;;1;212.34930388;0;25;39.128717628;0.1061499579;0.8938500421
0;1483.6144156;67533;53498.264363;HomeImp;Mgr;10;;2;227.79298841;0;25;39.166328703;0.1061499579;0.8938500421
1;4100;;19132;HomeImp;Other;0;0;0;100.77465221;0;19;33.840919904;0.1061499579;0.8938500421
1;4028.368934;58500;65000;HomeImp;Other;0.6805637594;1;2;63.933333333;2;15;;0.1061499579;0.8938500421
0;4100;14004.937871;63797;DebtCon;ProfExe;7;0;4;165.50503695;1;31;22.27817437;0.2254470199;0.7745529801
0;1363.3918517;37394.690023;30823.63894;HomeImp;Office;19;0;0;211.00259912;1;20;19.027704425;0.0197910103;0.9802089897
1;2840.1990925;4412.9060144;27639.075118;HomeImp;Other;1.2546617124;1;0;93.5;1;5;;0.1061499579;0.8938500421
0;4200;48851.651296;77000;DebtCon;Sales;1.5643286694;0;0;128.83333333;0;31;;0.1061499579;0.8938500421
0;4200;5902.1067405;43874.606222;DebtCon;;0.5507734076;;1;75.433333333;;16;;0.1061499579;0.8938500421
0;3992.429927;57190.154185;82953;HomeImp;Other;3;0;0;110.27866259;0;15;43.450587911;0.1678515618;0.8321484382
0;4200;50216;58541;HomeImp;Office;11.14989333;0;0;209.87130224;0;19;20.20803267;0.0204221252;0.9795778748
0;3909.9592856;71206;30445.662205;DebtCon;Sales;3;0;0;129.93286902;0;31;34.181376516;0.1165225526;0.8834774474
0;4300;39171.796395;79852;HomeImp;Other;0.9130310402;0;0;105.12070881;0;14;41.806376152;0.1677449056;0.8322550944
0;4300;72021;66635.528946;HomeImp;Other;2;2;0;263.97030029;0;5;36.432093937;0.1651986876;0.8348013124
0;1925.4322614;53969;4541.2845333;DebtCon;ProfExe;1.8070924779;0;3;162.39001067;0;30;23.581079239;0.1056269218;0.8943730782
0;4400;;60250;;;;;;;;;;0.1061499579;0.8938500421
1;4400;53091;64074;DebtCon;Office;14;1;3;89.86105825;0;17;39.158084834;0.4649972268;0.5350027732
0;4500;66127;79087;HomeImp;Other;2.7674128109;1;0;81.349065098;0;15;40.70530876;0.2090901749;0.7909098251
0;4500;;77182;;;;;;;;;25.227252904;0.1061499579;0.8938500421
1;3373.1401578;39000;45365.101021;HomeImp;Other;0.2300119247;0;0;170.36666667;1;19;;0.1061499579;0.8938500421
0;4500;71067.537955;79247;HomeImp;Other;4;0;0;118.76041007;0;14;41.421110521;0.1365223527;0.8634776473
0;1101.9779991;;4593.3260137;HomeImp;;0;0;0;;0;0;11.652738796;0.1061499579;0.8938500421
0;4500;57000;;HomeImp;Other;3.0378567674;;;222.6;1;13;;0.1061499579;0.8938500421
1;3824.2955158;34184;1704.489461;HomeImp;Mgr;3.5;0;1;122.6;2;22;;0.1061499579;0.8938500421
1;4409.9564831;66517;56084.200618;DebtCon;ProfExe;7.2396930481;0;4;125.8;0;34;;0.1061499579;0.8938500421
0;3267.4081741;45500;50000;HomeImp;Other;6;0;0;86.166666667;0;18;;0.1061499579;0.8938500421
1;4500;88279.061862;146870;HomeImp;ProfExe;4.5;2;0;203.86666667;1;20;;0.1061499579;0.8938500421
1;1191.4735721;90000;1399.5430092;HomeImp;Other;1.2897287278;2;3;80.1;3;10;;0.1061499579;0.8938500421
0;4700;67913;97205;;Mgr;2;0;0;142.82439151;0;24;35.226997192;0.1061499579;0.8938500421
0;4700;46574.904828;88566;HomeImp;Other;2;2;0;283.95953809;0;5;36.475473283;0.1854569062;0.8145430938
0;4700;53918;59511;DebtCon;;4.3953102298;;0;54.13647743;;15;34.416507811;0.1061499579;0.8938500421
1;884.6624168;13863.424904;58238;HomeImp;ProfExe;0.1;0;0;61.8;2;17;;0.1061499579;0.8938500421
0;3937.0318488;88026;115506;HomeImp;ProfExe;6;0;0;182.24833156;0;27;29.20902258;0.0392571365;0.9607428635
1;4700;26900;10419.969387;HomeImp;ProfExe;9;1;2;90.466666667;1;16;;0.1061499579;0.8938500421
0;4800;48682.072618;97191;;Mgr;3;0;0;137.31972481;0;23;34.275293777;0.1061499579;0.8938500421
0;4800;56067;63102;DebtCon;ProfExe;9;0;3;160.14631128;1;30;21.583760121;0.1162517253;0.8837482747
0;945.74713602;15750.581807;88342;HomeImp;ProfExe;3.0553611988;0;0;275.03239483;0;11;43.717635112;0.1296662031;0.8703337969
0;581.54796026;58688;27290.115357;DebtCon;ProfExe;9;0;3;179.16257471;2;31;22.544392837;0.1188136245;0.8811863755
0;368.60057114;65873;51629.031658;;Mgr;0.513927785;0;0;141.85899895;0;23;37.76961861;0.1061499579;0.8938500421
1;4900;21748.882265;6215.4184952;HomeImp;Other;2.1773529505;0;0;101.74676644;0;8;33.243156978;0.092719706;0.907280294
0;4900;67794;51289.117222;HomeImp;Other;4;0;0;112.57341888;0;15;41.673996362;0.1311071634;0.8688928366
1;4257.2037136;44000;59745;HomeImp;Other;10;0;0;81.5;3;13;;0.1061499579;0.8938500421
0;4900;;28437.5;HomeImp;;;;;;;;;0.1061499579;0.8938500421
0;4900;170986;33356.946791;DebtCon;Sales;;0;0;131.93333333;0;22;;0.1061499579;0.8938500421
1;840.69644699;65576;65774;HomeImp;Other;6;1;2;61.64250608;1;14;40.590910018;0.4757791257;0.5242208743
0;4900;57461;68494;DebtCon;ProfExe;8;0;4;183.63561323;0;30;22.795423552;0.1720342718;0.8279657282
0;4900;;69706;;;;;;;;;33.705587738;0.1061499579;0.8938500421
0;5000;;16558.096393;HomeImp;;;;;;;;33.354652626;0.1061499579;0.8938500421
0;5000;23232.738005;61690;DebtCon;;5;;0;65.032969007;;16;36.699414922;0.1061499579;0.8938500421
0;5000;25714.474386;87168;HomeImp;Other;3.3480031841;0;0;122.59722258;0;15;40.616779346;0.1577996846;0.8422003154
0;5000;12457;53448;HomeImp;Self;;0;0;207.14348133;0;12;44.107951691;0.1061499579;0.8938500421
0;1331.3209132;90059;88372.036725;HomeImp;ProfExe;7;0;0;193.63644686;0;28;25.897316482;0.0273599991;0.9726400009
1;5000;613.60247775;34900;HomeImp;Other;10;0;0;65.7;1;5;;0.1061499579;0.8938500421
1;5000;6589.2674991;70500;HomeImp;Mgr;0.4;0;0;61.766666667;2;8;;0.1061499579;0.8938500421
1;5000;10731.612881;102700;HomeImp;Mgr;1.2434027862;0;1;58.866666667;0;16;;0.1061499579;0.8938500421
1;5000;31000;47350;HomeImp;ProfExe;9.8254708172;;;;;;;0.1061499579;0.8938500421
1;3927.4028497;49416.188889;126500;HomeImp;Office;3;0;0;100.3;0;14;;0.1061499579;0.8938500421
1;4131.8490189;98197.946278;129693.5;HomeImp;Mgr;7.086179582;;;;;;;0.1061499579;0.8938500421
1;5000;;132000;HomeImp;Other;17.5;0;2;121.9;0;14;;0.1061499579;0.8938500421
1;5000;;9100;HomeImp;Other;1;0;0;54.733333333;2;8;;0.1061499579;0.8938500421
1;5000;34200;50830;HomeImp;Other;4.8163554356;0;0;57;1;9;;0.1061499579;0.8938500421
1;5000;;71277;HomeImp;Other;3.3418243021;0;0;72.433333333;1;12;;0.1061499579;0.8938500421
1;5000;123000;122094.49578;HomeImp;Mgr;9;;;;;;;0.1061499579;0.8938500421
0;4197.9579717;16600;25250;HomeImp;Other;6;0;0;88.7;1;3;;0.1061499579;0.8938500421
0;1854.0547308;;52000;HomeImp;Other;;0;1;285.33333333;0;6;;0.1061499579;0.8938500421
0;5000;22700;2342.9555188;HomeImp;Other;3.5808647534;0;0;74.633333333;3;9;;0.1061499579;0.8938500421
1;5000;75.841382181;20007.703078;HomeImp;Self;2.0745753921;0;1;335.03333333;3;42;;0.1061499579;0.8938500421
1;1228.1973852;;20445.845911;HomeImp;Other;19;;;;;;;0.1061499579;0.8938500421
1;1877.6956768;;94119;HomeImp;Other;19;;;;;;;0.1061499579;0.8938500421
0;5000;73126;10544.798196;DebtCon;Other;1;0;0;125.96666667;2;10;;0.1061499579;0.8938500421
0;5000;54623.820575;86250;DebtCon;Mgr;5.6016206474;0;1;300.36666667;1;24;;0.1061499579;0.8938500421
0;5000;26037;35000;HomeImp;ProfExe;12;0;0;182.63333333;0;13;;0.1061499579;0.8938500421
0;5000;39000;50340;HomeImp;Office;3.6461996956;;;179.83333333;;19;;0.1061499579;0.8938500421
0;3792.0447992;;26550;DebtCon;Other;0.6813913026;0;0;276.96666667;1;14;;0.1061499579;0.8938500421
0;5000;70470;34388.16584;DebtCon;;5;;;;;;;0.1061499579;0.8938500421
0;5000;;34137.972483;HomeImp;Other;2.5665257743;0;0;266.8;1;26;;0.1061499579;0.8938500421
0;3897.7442095;74225;33871.735021;DebtCon;ProfExe;0.3;;;;;;;0.1061499579;0.8938500421
1;989.05609967;;65400;HomeImp;Office;0.666057221;0;0;51.766666667;0;4;;0.1061499579;0.8938500421
1;2479.1311577;;37500;HomeImp;Other;;0;3;107.13333333;10;5;;0.1061499579;0.8938500421
0;5000;14537.899838;98500;DebtCon;ProfExe;24;0;0;51.766666667;3;14;;0.1061499579;0.8938500421
0;1895.4458958;59900;80800;DebtCon;ProfExe;15;0;0;219.13333333;1;18;;0.1061499579;0.8938500421
1;4250.3614348;10171;26809;HomeImp;Office;13;3;6;228.3;0;24;;0.1061499579;0.8938500421
1;589.26312513;15082.484586;25768.398623;HomeImp;Mgr;5.8655002144;0;0;133.9;1;34;;0.1061499579;0.8938500421
1;5000;18726.470185;28145.75319;HomeImp;Mgr;6;5;3;122.76666667;5;28;;0.1061499579;0.8938500421
1;5000;68000;75616;DebtCon;ProfExe;0.0376558008;0;0;131.86666667;0;30;;0.1061499579;0.8938500421
1;1694.7531755;71571;85100;DebtCon;ProfExe;0.5239134427;0;1;82.133333333;0;13;;0.1061499579;0.8938500421
1;10.211816994;23567.607775;15220.932274;DebtCon;Other;2;1;0;222.2;1;6;;0.1061499579;0.8938500421
1;290.83065935;40000;23712.955779;HomeImp;Other;8;3;2;163.36666667;1;16;;0.1061499579;0.8938500421
1;5000;40016.753967;;DebtCon;ProfExe;0.4786504435;1;2;144.06666667;2;17;;0.1061499579;0.8938500421
0;5000;42091.328526;59375;HomeImp;Office;8.7180490134;;;178.6925087;;19;26.448197463;0.1061499579;0.8938500421
1;3925.4288347;61999;75021.3;HomeImp;Other;5;0;0;97.1;0;23;;0.1061499579;0.8938500421
0;5000;13230.134025;97275;DebtCon;Other;1;0;0;120.67506316;2;10;37.512708409;0.1793921662;0.8206078338
0;5000;68739;93435;;Mgr;3;0;0;148.72040469;0;23;36.669278612;0.1061499579;0.8938500421
0;5000;19544.219081;31978.923133;DebtCon;;3.677655388;;1;69.107465597;;15;35.025072968;0.1061499579;0.8938500421
1;3357.6442014;46696;85202;HomeImp;Other;2;1;2;148.34064549;0;14;46.489874001;0.5338608192;0.4661391808
0;5000;;42610.270209;HomeImp;Other;2;0;0;257.6522064;0;26;40.952588884;0.1061499579;0.8938500421
0;5000;66435;21483.205328;HomeImp;Other;2;0;0;125.13062556;0;14;42.183538672;0.1248648879;0.8751351121
0;393.06215425;179725;31016.771296;DebtCon;Sales;;0;0;127.49881344;0;22;40.308259362;0.1061499579;0.8938500421
0;404.47835191;85583;86363.692029;HomeImp;ProfExe;2.1848501867;0;0;177.95825512;1;28;26.257970132;0.0347085197;0.9652914803
0;190.55256461;25840.199201;80691;HomeImp;Other;1;1;0;273.88170516;0;6;39.852146515;0.1718238212;0.8281761788
1;5100;19159.17267;46735;HomeImp;Other;6.5201076244;0;0;69;0;17;;0.1061499579;0.8938500421
0;5100;;26715;DebtCon;Other;1;0;0;258.78929762;0;14;26.722343337;0.1061499579;0.8938500421
0;5100;53340.953941;58581.00447;HomeImp;ProfExe;5.9186517046;0;0;181.66304016;0;28;25.444759149;0.0298123734;0.9701876266
0;5100;;28291;DebtCon;Other;2;0;0;277.94456081;1;14;23.644691283;0.1061499579;0.8938500421
1;788.02669304;9900;30451;HomeImp;Other;9.0270544547;0;0;21.2;0;2;;0.1061499579;0.8938500421
0;5100;93000;116875;HomeImp;Other;10;;;417.63333333;2;50;;0.1061499579;0.8938500421
1;2722.6557755;15500;34000;DebtCon;Other;0;1;2;86.233333333;2;13;;0.1061499579;0.8938500421
1;5100;115516.8741;141875;HomeImp;Sales;7;1;0;157.85980209;0;36;25.650741224;0.1010974701;0.8989025299
1;3081.6257055;66834;87361;HomeImp;Other;0;2;0;290.03410799;0;6;38.766985071;0.1929558887;0.8070441113
1;5100;73882;96031;DebtCon;Other;0;0;0;125.78740011;1;10;34.446079222;0.1013696338;0.8986303662
0;2245.38344;25934.78023;97064;DebtCon;Other;0;0;0;121.0759726;2;9;36.401729548;0.1624775448;0.8375224552
0;5100;62702;79784;HomeImp;Other;2;0;0;108.07259081;0;15;43.290139816;0.1624840093;0.8375159907
0;5200;;36425;DebtCon;Other;0.5761343709;0;0;266.81346457;1;14;23.797401058;0.1061499579;0.8938500421
0;1604.4163432;67000;77000;HomeImp;Other;5.5139489889;0;1;119.7;0;25;;0.1061499579;0.8938500421
1;2744.0327659;43039;53521;HomeImp;Office;11;;;184.29668729;;19;24.414763177;0.1061499579;0.8938500421
0;1608.3102975;19000;26000;DebtCon;Other;0;1;0;17.2;10;7;;0.1061499579;0.8938500421
1;5200;;3392.6737534;DebtCon;Other;0.8401181418;0;1;81.1;1;2;;0.1061499579;0.8938500421
0;5164.2949784;91250;73985.753825;HomeImp;Office;24;0;0;123.76666667;1;12;;0.1061499579;0.8938500421
0;5200;16324;18562.955253;HomeImp;Self;;0;0;221.11808171;0;11;42.712093844;0.1061499579;0.8938500421
1;5200;13614.796328;39527;HomeImp;Other;0;0;0;157.77103572;1;13;72.670433313;0.6526584253;0.3473415747
0;5300;73698;84427;DebtCon;;0.6014511085;;;;;;19.131201179;0.1061499579;0.8938500421
0;817.58934693;66987;65111;HomeImp;Sales;4;1;0;175.32870382;1;22;40.442570389;0.3042427865;0.6957572135
1;5300;26908;16090.483018;HomeImp;Other;;0;0;302.35870946;0;8;39.196985402;0.1061499579;0.8938500421
0;5300;;38595.3132;HomeImp;;0;0;0;;0;0;12.043670576;0.1061499579;0.8938500421
0;5300;44993;3651.7726095;HomeImp;Office;1.6728967361;;;184.74276716;;18;27.906122726;0.1061499579;0.8938500421
1;3782.7086317;51000;19922.21714;HomeImp;Mgr;10;1;0;98.333333333;0;12;;0.1061499579;0.8938500421
0;291.89861095;75958;85689.840238;DebtCon;Other;0;0;0;124.1821788;1;10;34.599060194;0.1000368123;0.8999631877
0;5300;97132;117343;HomeImp;Office;1.3567368087;0;0;109.93390789;1;11;35.8385427;0.0958433359;0.9041566641
0;5300;60826;80826;HomeImp;Mgr;6.6079783284;;1;212.89174607;0;25;38.591494028;0.1061499579;0.8938500421
0;5300;49637.482309;96809;DebtCon;ProfExe;0;;;;;;28.423961906;0.1061499579;0.8938500421
0;679.57979314;47449;27968.700485;HomeImp;Office;18.579814724;0;0;208.16271401;0;20;19.762113701;0.0175339446;0.9824660554
0;5300;50550.999185;62957;HomeImp;Office;21;0;0;197.24195728;0;20;19.350505633;0.018675865;0.981324135
0;2330.2654143;53429;64505;DebtCon;;5;;0;69.542430107;;16;36.480236299;0.1061499579;0.8938500421
0;5400;;56441.285985;HomeImp;Office;1;0;0;40.709849004;0;4;37.848771035;0.1061499579;0.8938500421
0;1931.6665351;47844;52040;HomeImp;Office;8;;;189.03430464;;18;24.701136262;0.1061499579;0.8938500421
1;2061.4810191;45509;57453;DebtCon;Sales;4;0;0;95.6;0;22;;0.1061499579;0.8938500421
1;5400;59720;60930.424658;HomeImp;ProfExe;5;0;1;199.9;1;20;;0.1061499579;0.8938500421
0;4813.2641207;86922;51709.763195;HomeImp;ProfExe;3.3561986002;0;0;185.07634726;1;28;26.354889295;0.0302848844;0.9697151156
1;5400;18467.604046;9750.9337434;DebtCon;Sales;2;0;0;136.63294416;0;30;32.05002349;0.1208152415;0.8791847585
0;5400;65814;85848;HomeImp;Other;4;0;0;122.9402886;0;15;44.092325682;0.1635701886;0.8364298114
0;5400;;62448.293959;;;;;;;;;23.163742947;0.1061499579;0.8938500421
1;5400;71324.700129;88000;HomeImp;ProfExe;8;0;0;102.5;3;19;;0.1061499579;0.8938500421
1;5119.5900091;48152;55760;DebtCon;;2.9373118705;;0;78.452125766;;16;35.763637997;0.1061499579;0.8938500421
0;1850.5019072;70481;82446;HomeImp;Other;7.6369540839;0;1;116.59197688;0;24;37.612682724;0.1554514607;0.8445485393
0;4091.6884162;;35402;HomeImp;;;;;;;;35.272073735;0.1061499579;0.8938500421
0;5059.6515746;87765;101053;DebtCon;ProfExe;22;0;0;55.558049044;2;13;31.375542416;0.0782511035;0.9217488965
