BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,13400,67941.0,84973.0,DebtCon,Office,6.0,1.0,3.0,179.977070168612,3.0,30.0,37.4289375242446
1,7200,,76723.0,HomeImp,Other,10.0,0.0,0.0,70.1938901882609,0.0,11.0,41.2507062582395
0,23500,48286.0,81958.0,DebtCon,Mgr,6.0,0.0,0.0,248.860094270618,2.0,25.0,32.4673008944175
0,9400,77715.0,101258.0,DebtCon,Mgr,2.0,0.0,0.0,65.87658671658029,1.0,23.0,38.108000986793996
0,27600,60039.0,86166.0,DebtCon,Office,0.0,0.0,0.0,100.94932168640999,0.0,23.0,33.8209340356248
0,16900,31143.0,75125.0,HomeImp,Other,,1.0,0.0,237.17904542092998,0.0,49.0,42.1322805648028
1,19400,178000.0,219300.0,HomeImp,ProfExe,12.0,0.0,0.0,214.366666666667,0.0,26.0,
0,20600,124323.0,166781.0,DebtCon,Office,4.0,,1.0,381.025647533201,,51.0,37.1690480806721
0,22600,31933.0,47669.0,HomeImp,Self,4.0,0.0,,133.447479007983,,11.0,24.201086188056998
0,7400,,54138.0,HomeImp,,1.0,0.0,0.0,,0.0,0.0,12.2196799606596
1,8400,48032.0,95213.0,HomeImp,Office,5.0,1.0,4.0,326.679590490122,0.0,30.0,38.191681735833
0,8000,65000.0,93600.0,DebtCon,Other,16.0,,,140.066666666667,4.0,16.0,
1,16100,49371.0,77400.0,DebtCon,Office,3.0,2.0,2.0,214.060376160458,1.0,51.0,44.2167638900535
0,12800,46043.0,62531.0,DebtCon,Other,4.0,0.0,0.0,183.98210054440102,0.0,13.0,26.100802572192997
1,14000,85200.0,,HomeImp,Other,8.0,1.0,0.0,188.666666666667,4.0,17.0,
0,13100,,65933.0,,,0.0,0.0,0.0,,0.0,0.0,3.65737071803649
0,16400,73466.0,89453.0,DebtCon,Other,4.0,0.0,0.0,198.827423760542,3.0,19.0,41.5234974089654
0,20800,136884.0,180053.0,HomeImp,Mgr,9.0,0.0,0.0,323.59519740211397,0.0,17.0,43.0377500390856
0,10500,26000.0,39000.0,DebtCon,Other,9.0,,1.0,152.233333333333,7.0,29.0,
0,7600,,40341.0,HomeImp,Other,3.0,0.0,0.0,265.020475356953,1.0,25.0,43.3001053119684
0,26400,196412.0,250164.0,DebtCon,Other,9.0,0.0,0.0,97.2783492705311,1.0,26.0,42.334245998102396
1,14100,52302.0,63589.0,HomeImp,ProfExe,6.0,0.0,0.0,130.342467178648,4.0,8.0,34.7928316478677
1,12000,,,HomeImp,Other,19.0,0.0,8.0,195.833333333333,0.0,13.0,
0,11400,43530.0,56600.0,HomeImp,Other,21.0,0.0,0.0,114.982979039049,0.0,23.0,39.4816629010726
0,7000,58339.0,72432.0,HomeImp,Mgr,10.0,,1.0,197.33839791754903,0.0,24.0,39.843087336804295
1,13000,47000.0,60000.0,HomeImp,Self,1.0,0.0,0.0,,3.0,12.0,
0,6300,79667.0,96988.0,DebtCon,ProfExe,1.0,,,,,,29.835960721055002
0,32200,188427.0,293790.0,DebtCon,Other,27.0,0.0,0.0,157.726290760674,0.0,23.0,37.065758883993
0,22600,239115.0,264462.0,HomeImp,Self,5.0,0.0,0.0,244.179730393061,2.0,50.0,36.7008705546944
0,14600,58229.0,74027.0,DebtCon,Other,2.0,0.0,0.0,228.560354008828,0.0,9.0,34.124242282726
0,11200,68890.0,84059.0,DebtCon,Office,12.0,0.0,0.0,254.01968934892398,3.0,36.0,41.4339437973751
0,17400,102228.0,115898.0,DebtCon,ProfExe,0.0,0.0,0.0,144.198167554795,0.0,30.0,35.11415034770231
0,27900,66027.0,102745.0,DebtCon,ProfExe,9.0,0.0,0.0,298.103251417659,1.0,32.0,38.250306046745
0,9400,109991.0,125146.0,DebtCon,Self,7.0,0.0,1.0,171.679811143281,0.0,18.0,34.8134685936912
1,6800,,27410.0,HomeImp,Mgr,6.0,1.0,0.0,2.03333333333333,1.0,5.0,
0,15500,52051.0,88200.0,DebtCon,Office,30.0,0.0,0.0,211.06666666666698,0.0,22.0,
1,43500,,855909.0,HomeImp,Other,16.0,0.0,0.0,196.40363635524898,0.0,23.0,42.9854083770818
0,13900,11413.0,81273.0,DebtCon,Other,7.0,0.0,0.0,239.083695950414,0.0,14.0,19.626149514348302
0,10800,59469.0,69834.0,DebtCon,Other,3.0,0.0,0.0,308.759175678959,0.0,9.0,34.09578509304011
0,12200,61929.0,83102.0,HomeImp,Office,14.0,0.0,0.0,238.524927408098,1.0,32.0,44.4496709706027
0,9800,47126.0,57365.0,DebtCon,Other,0.0,0.0,1.0,91.1412187120002,0.0,19.0,38.657640295134705
1,20300,66667.0,92158.0,DebtCon,ProfExe,9.0,3.0,1.0,174.89210564226602,2.0,64.0,40.545680998012294
0,21400,134041.0,163103.0,DebtCon,ProfExe,6.0,1.0,0.0,172.031069313505,0.0,38.0,19.6370687506753
0,28400,72870.0,95647.0,DebtCon,Office,11.0,0.0,0.0,139.045254716439,0.0,20.0,37.8206784545354
0,8200,64006.0,80409.0,HomeImp,Other,15.0,0.0,0.0,235.363249452995,0.0,36.0,35.636720346192206
0,4000,67625.0,80698.0,HomeImp,Mgr,11.0,,1.0,212.34930387920102,0.0,25.0,39.1287176277995
0,26500,240782.0,267675.0,HomeImp,Self,6.0,0.0,0.0,229.307025763149,1.0,50.0,37.740918996097
0,10000,48041.0,76050.0,HomeImp,Other,3.0,0.0,2.0,185.7,0.0,13.0,
1,18400,72718.0,98065.0,DebtCon,Other,8.0,0.0,0.0,119.05781712932699,0.0,19.0,35.3641284331233
0,6900,,57067.0,,,,,,,,,14.370985948769802
1,77400,87651.0,224630.0,HomeImp,Self,9.0,0.0,2.0,73.46963001307921,3.0,13.0,40.92979326425579
0,17400,11147.0,166496.0,HomeImp,Mgr,23.0,0.0,0.0,73.4675177609655,1.0,19.0,29.531664150553603
0,23800,,71798.0,HomeImp,Office,6.0,0.0,0.0,119.711954746695,2.0,5.0,19.624527791093303
1,13000,7200.0,24869.0,HomeImp,Other,0.7,9.0,1.0,193.8,0.0,9.0,
0,18800,70102.0,99841.0,HomeImp,ProfExe,10.0,0.0,0.0,68.1685728720576,0.0,16.0,32.8537943618529
0,34000,232312.0,286305.0,DebtCon,ProfExe,4.0,0.0,0.0,219.658931934941,0.0,29.0,15.735934888006199
0,16000,71861.0,95315.0,HomeImp,ProfExe,24.0,0.0,0.0,241.412514980928,1.0,23.0,35.474773101832106
0,42200,21393.0,68111.0,DebtCon,Other,19.0,0.0,0.0,208.522924442935,0.0,30.0,39.751716560084205
1,3000,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,2.0,62.366666666666696,0.0,10.0,
1,8900,33208.0,75000.0,DebtCon,Mgr,22.0,0.0,3.0,166.2,1.0,33.0,
0,17200,27230.0,82319.0,HomeImp,Other,,0.0,0.0,249.215667155459,1.0,50.0,43.7567940854872
0,13900,155486.0,178789.0,DebtCon,ProfExe,7.0,,1.0,192.482316017112,4.0,26.0,41.176711826863105
0,17300,65136.0,83847.0,DebtCon,Office,6.0,0.0,0.0,127.09997366000499,0.0,20.0,24.5182717004084
0,30600,231344.0,284199.0,DebtCon,ProfExe,7.0,0.0,1.0,202.528603508495,0.0,29.0,15.823900056106
0,22400,65502.0,104373.0,HomeImp,Office,14.0,0.0,0.0,141.812823376048,0.0,13.0,36.221943143881795
0,14200,71979.0,86443.0,DebtCon,Other,2.0,0.0,0.0,238.264346224204,3.0,25.0,32.1367662298478
0,39600,134552.0,193455.0,DebtCon,Mgr,,0.0,0.0,185.193836562095,0.0,25.0,33.217961697484306
0,26200,100931.0,132627.0,DebtCon,Office,11.0,0.0,1.0,169.032093873273,0.0,28.0,41.0895691856926
0,14000,37019.0,57125.0,DebtCon,Other,,0.0,0.0,69.823553127604,0.0,15.0,41.6370587712885
0,23600,96452.0,125277.0,HomeImp,Mgr,11.0,0.0,0.0,127.35992198892299,1.0,23.0,30.985538960735102
0,8700,50711.0,87898.0,DebtCon,,4.0,0.0,0.0,209.52143849746201,4.0,30.0,32.7430070767845
0,7000,46225.0,59000.0,DebtCon,Other,16.0,0.0,4.0,219.133333333333,0.0,37.0,
0,20000,59936.0,12737.0,DebtCon,Other,5.0,,,63.39540036111939,0.0,17.0,40.4465793170717
0,11000,56795.0,70014.0,DebtCon,Other,3.0,0.0,1.0,319.79577127260603,0.0,10.0,33.5961708577937
0,12000,96000.0,135000.0,HomeImp,ProfExe,14.0,0.0,0.0,126.8,5.0,22.0,
0,26500,63345.0,100332.0,DebtCon,Other,16.0,0.0,0.0,139.510545880731,0.0,30.0,38.4274445685686
0,23900,27800.0,43403.0,DebtCon,Other,27.0,0.0,0.0,307.624238779921,,12.0,31.913704682171197
0,28900,77916.0,130728.0,DebtCon,Office,2.0,0.0,0.0,290.772608046356,1.0,23.0,39.0954764480216
1,9000,52311.0,68994.0,DebtCon,Office,0.0,0.0,1.0,137.784003633336,0.0,9.0,28.454712857587598
0,11000,102000.0,120000.0,DebtCon,,3.0,0.0,0.0,125.8,1.0,26.0,
0,26400,130672.0,212536.0,DebtCon,ProfExe,10.0,0.0,0.0,221.506831609224,3.0,26.0,20.269918788862398
0,11900,61094.0,74842.0,,Other,12.0,0.0,0.0,250.199834392101,0.0,26.0,29.734874071420602
0,18500,23618.0,37539.0,,Office,1.0,0.0,0.0,199.723777099748,0.0,15.0,36.982729198296
0,12100,48622.0,83158.0,HomeImp,Other,4.0,0.0,2.0,191.56929157658698,0.0,12.0,29.2044995549156
0,27600,150120.0,191972.0,HomeImp,Self,3.0,0.0,0.0,178.038491094885,1.0,16.0,41.80742804506671
0,8300,,41438.0,HomeImp,Other,,,,302.856632856126,,12.0,30.104071436428498
0,17100,59123.0,94247.0,DebtCon,Office,0.0,0.0,0.0,70.0163602310111,0.0,22.0,37.1950855318108
0,24700,53925.0,83056.0,DebtCon,Mgr,4.0,0.0,0.0,251.188392799831,2.0,25.0,34.8892417270128
0,24300,21660.0,48475.0,DebtCon,Other,26.0,0.0,0.0,102.782835532908,0.0,10.0,23.2479582810625
0,8200,80989.0,105080.0,DebtCon,Mgr,1.0,0.0,0.0,81.35479529701,1.0,24.0,38.4757705002445
0,26900,69446.0,104590.0,DebtCon,ProfExe,11.0,0.0,0.0,287.275992432001,1.0,32.0,41.499060426666006
0,10600,64546.0,84576.0,DebtCon,Other,0.0,,,173.62528426653702,,35.0,28.9718037681756
1,20000,104000.0,139900.0,DebtCon,Other,15.0,1.0,1.0,95.3666666666667,4.0,49.0,
0,8400,102894.0,117799.0,HomeImp,Other,9.0,,,420.098164437725,1.0,49.0,39.633190087631
0,25500,44562.0,79481.0,DebtCon,Other,10.0,0.0,0.0,126.277808170385,1.0,19.0,40.2507380272358
0,14600,86199.0,95034.0,HomeImp,Office,,0.0,0.0,164.295050007092,1.0,25.0,41.546002515045
0,8300,44783.0,63424.0,HomeImp,Other,2.0,0.0,,97.9008362046973,,12.0,36.5878698006821
0,32800,37231.0,80347.0,DebtCon,Other,9.0,,,113.93659292448099,,24.0,32.1700196226686
0,7400,73985.0,114849.0,DebtCon,Office,0.0,0.0,0.0,238.586303433039,1.0,38.0,18.421369855274197
0,15100,44700.0,76456.0,DebtCon,Mgr,5.0,0.0,0.0,134.504348198811,0.0,9.0,29.3839965309827
0,20900,30517.0,58756.0,DebtCon,Other,,0.0,0.0,222.037994558451,0.0,12.0,40.421668839837295
0,7500,57213.0,92458.0,HomeImp,Office,28.0,0.0,0.0,243.15711917299998,1.0,16.0,23.9923533512709
0,23400,125750.0,165732.0,DebtCon,ProfExe,6.0,0.0,0.0,195.08453905983,0.0,38.0,20.733031636952898
1,27400,23939.0,56874.0,DebtCon,Office,3.0,0.0,1.0,197.8,0.0,11.0,
0,13000,110094.0,145807.0,DebtCon,ProfExe,2.0,0.0,0.0,285.275934670102,0.0,45.0,35.0454710569584
0,20700,32817.0,101720.0,HomeImp,Other,5.0,0.0,0.0,132.94093789386298,0.0,15.0,31.606217408434603
0,16100,107758.0,124610.0,DebtCon,ProfExe,0.0,0.0,0.0,129.17889812941098,0.0,29.0,34.2115674001172
1,23200,14511.0,81579.0,DebtCon,Other,7.0,0.0,3.0,272.938299003882,0.0,23.0,47.120580492848795
0,3800,11543.0,46045.0,HomeImp,Self,,0.0,0.0,204.64799167056,0.0,11.0,42.1731658823291
0,10700,147477.0,181050.0,HomeImp,Office,6.0,0.0,0.0,190.021084924675,1.0,55.0,34.69816239117561
1,17200,62108.0,,DebtCon,Office,21.0,0.0,0.0,174.39613453669799,1.0,21.0,34.5389253739728
0,13000,,25425.0,DebtCon,Other,13.0,,,90.9333333333333,2.0,9.0,
0,30200,106594.0,148695.0,DebtCon,Other,13.0,0.0,0.0,239.918405006597,1.0,39.0,41.27520899337029
1,5000,22700.0,34225.0,HomeImp,Other,4.0,0.0,0.0,74.6333333333333,3.0,9.0,
0,36100,94801.0,146627.0,DebtCon,Other,11.0,0.0,0.0,64.3787928869608,1.0,36.0,40.234871193028496
0,10800,75378.0,86060.0,DebtCon,Mgr,6.0,0.0,0.0,102.665070779692,0.0,23.0,30.095009689524304
0,8100,26886.0,36527.0,HomeImp,ProfExe,12.0,0.0,0.0,188.419826413984,0.0,13.0,24.865567184922103
1,11000,49000.0,66922.0,DebtCon,Other,11.0,0.0,2.0,91.0,3.0,32.0,
0,21800,107271.0,161219.0,DebtCon,Mgr,15.0,0.0,0.0,187.297476940379,0.0,26.0,31.556948739190997
0,26000,238005.0,260479.0,HomeImp,Self,5.0,1.0,0.0,242.29015948919,2.0,51.0,35.457658789273204
0,12100,83557.0,98881.0,HomeImp,ProfExe,6.0,0.0,0.0,102.22570446401899,1.0,26.0,25.782787088469
0,15600,102881.0,117868.0,DebtCon,Other,11.0,0.0,0.0,287.441130858063,2.0,19.0,31.7598767866333
0,15300,79541.0,94973.0,DebtCon,Other,5.0,2.0,0.0,76.2075921002741,0.0,20.0,22.902506621434604
1,32000,92400.0,215000.0,,Self,2.5,1.0,3.0,165.333333333333,1.0,40.0,
0,10000,57068.0,72000.0,,Other,12.0,0.0,0.0,257.7,0.0,27.0,
1,19200,62334.0,91300.0,DebtCon,Mgr,8.0,0.0,1.0,92.3333333333333,4.0,13.0,
0,19600,128876.0,162994.0,DebtCon,Office,2.0,,1.0,382.312217026532,,52.0,36.067963439909704
1,17500,110603.0,142000.0,DebtCon,Other,1.0,1.0,0.0,163.066666666667,3.0,25.0,
0,23600,126254.0,169638.0,DebtCon,ProfExe,6.0,0.0,0.0,176.749163093004,0.0,38.0,17.6209202142017
0,10200,60180.0,72370.0,DebtCon,Mgr,5.0,,,125.29486665444999,,23.0,42.5046135425822
0,15100,,53238.0,DebtCon,Other,,,,350.96116446571403,,16.0,34.0558476650882
0,10000,75976.0,91000.0,DebtCon,Other,10.5,0.0,0.0,171.466666666667,5.0,22.0,
0,26600,140561.0,208775.0,HomeImp,ProfExe,5.0,0.0,0.0,197.524102445651,1.0,27.0,36.8783891158916
0,27000,45482.0,77000.0,DebtCon,Office,0.8,0.0,0.0,164.3,3.0,19.0,
0,18900,103130.0,120119.0,DebtCon,Other,7.0,0.0,0.0,292.751742698586,1.0,19.0,30.6816889144069
0,37200,205922.0,267238.0,DebtCon,ProfExe,2.0,1.0,0.0,238.211479876621,0.0,32.0,31.6228435419932
0,26300,87291.0,122531.0,DebtCon,ProfExe,10.0,0.0,1.0,128.483258117454,0.0,18.0,27.8375096048077
0,23400,45766.0,66192.0,DebtCon,Other,26.0,0.0,0.0,284.781572280616,2.0,32.0,35.936794804365704
0,21700,8606.0,75530.0,DebtCon,Office,,0.0,0.0,257.120721824448,0.0,21.0,38.7392189047389
0,10300,61000.0,75000.0,DebtCon,Office,12.0,0.0,0.0,251.53333333333302,4.0,37.0,
0,32000,22832.0,43358.0,DebtCon,Other,1.0,0.0,0.0,68.3289842387706,0.0,7.0,13.6657976889218
0,24300,123686.0,153184.0,DebtCon,Mgr,4.0,0.0,0.0,298.28291332531103,0.0,25.0,36.3365643893772
0,18700,47903.0,63933.0,HomeImp,Office,3.0,0.0,0.0,120.418041935723,1.0,17.0,32.977596653130604
0,16000,62200.0,89200.0,DebtCon,Other,1.9,0.0,0.0,176.53333333333302,1.0,31.0,
0,8600,,47791.0,,,,,,,,,14.392536075153599
1,6000,18793.0,27750.0,HomeImp,Mgr,6.0,0.0,3.0,119.7,0.0,8.0,
0,5900,,66903.0,,,,,,,,,32.7829268275867
0,27100,140305.0,237302.0,HomeImp,ProfExe,27.0,0.0,0.0,349.514267629613,2.0,18.0,37.4208471612962
0,43900,5149.0,67021.0,HomeImp,Office,,0.0,0.0,317.409304939126,0.0,18.0,16.1456888720653
0,28500,100145.0,130522.0,DebtCon,Office,10.0,0.0,0.0,137.942869224387,0.0,29.0,39.0725891755999
0,12100,44484.0,64398.0,DebtCon,Other,3.0,0.0,0.0,263.044704050417,0.0,20.0,28.8039825469553
0,28200,,117181.0,DebtCon,Mgr,9.0,0.0,0.0,170.64615366531,0.0,26.0,31.601436148393603
0,15800,41661.0,80457.0,DebtCon,Mgr,3.0,0.0,1.0,137.31750780836902,0.0,8.0,27.4340948486813
0,9400,,30455.0,HomeImp,Office,18.0,0.0,0.0,194.61421604465698,0.0,16.0,39.0000648633298
1,16500,48833.0,68872.0,DebtCon,Other,1.0,0.0,0.0,60.3906522937829,0.0,12.0,22.4596243869046
0,16900,30856.0,56961.0,HomeImp,Other,11.0,0.0,0.0,116.817707370368,1.0,10.0,20.3445821678427
0,87000,48980.0,89764.0,DebtCon,Other,14.0,0.0,0.0,209.043116559458,0.0,16.0,36.0880370645169
1,16300,79087.0,102921.0,DebtCon,Sales,23.0,0.0,0.0,256.253084310578,0.0,45.0,36.9870856935098
1,18900,17800.0,40798.0,DebtCon,Office,6.0,2.0,0.0,167.466666666667,2.0,16.0,
1,17200,74402.0,,DebtCon,ProfExe,13.0,0.0,1.0,115.35303063566201,4.0,34.0,41.3590363343381
0,19000,57429.0,86250.0,DebtCon,Office,5.0,,,175.5,,16.0,
1,8800,12750.0,,HomeImp,Office,23.0,,,,,,
0,7900,40827.0,55757.0,DebtCon,Other,14.0,0.0,0.0,87.60346243891371,0.0,11.0,31.850563902599102
0,10900,22513.0,52355.0,HomeImp,Other,1.0,0.0,0.0,248.583408656474,0.0,10.0,39.2046250059244
0,25500,26603.0,64347.0,,Office,1.0,0.0,0.0,117.43236503892099,1.0,6.0,39.2579120294228
0,18200,120966.0,208782.0,DebtCon,Other,4.0,0.0,0.0,202.534333380934,0.0,17.0,27.4366460426695
0,14800,86861.0,93341.0,HomeImp,Office,,0.0,0.0,162.02394644194598,0.0,26.0,42.8971621143525
1,41200,48400.0,99500.0,DebtCon,Other,3.0,1.0,1.0,203.8,2.0,38.0,
0,15400,58085.0,91192.0,DebtCon,ProfExe,10.0,0.0,0.0,191.344216955042,0.0,19.0,21.364312322034603
0,23700,46910.0,75136.0,DebtCon,Other,10.0,0.0,0.0,119.231204380074,1.0,19.0,43.8295880039221
0,23000,72681.0,105405.0,DebtCon,Mgr,0.0,,,230.07506448945702,4.0,23.0,43.519093320760405
0,17300,65444.0,91244.0,DebtCon,ProfExe,8.0,0.0,0.0,202.049682717119,0.0,19.0,21.573385223067998
0,22800,62754.0,101781.0,HomeImp,ProfExe,19.0,0.0,0.0,628.981947926314,0.0,24.0,20.2003022315168
0,8300,54039.0,89301.0,HomeImp,Other,18.0,0.0,0.0,173.191322415957,0.0,28.0,26.2668157518547
0,22300,21571.0,42590.0,DebtCon,Other,25.0,0.0,0.0,297.674462714979,,13.0,33.1170173572688
0,10000,59764.0,77870.0,DebtCon,Sales,7.0,0.0,0.0,136.9,0.0,35.0,
0,20000,38955.0,80680.0,DebtCon,ProfExe,8.0,0.0,0.0,295.300779298446,0.0,18.0,40.390956011792206
0,87500,55938.0,86794.0,DebtCon,Other,15.0,0.0,0.0,223.881040000211,0.0,16.0,36.7536526737426
0,17600,29201.0,41396.0,DebtCon,Mgr,19.0,0.0,0.0,89.202527349606,1.0,16.0,23.9349458400463
0,23000,,46846.0,DebtCon,Other,,,,77.5532030529773,,13.0,25.614294668289
1,10700,122000.0,148000.0,DebtCon,ProfExe,0.7,0.0,0.0,165.333333333333,7.0,29.0,
1,4000,41700.0,76725.0,HomeImp,Other,0.5,0.0,3.0,136.13333333333298,0.0,15.0,
0,16200,22956.0,44866.0,DebtCon,Mgr,16.0,0.0,0.0,114.759019173498,1.0,17.0,24.090882166950397
0,20500,183000.0,230000.0,DebtCon,ProfExe,2.0,0.0,0.0,288.86666666666696,1.0,27.0,
1,9500,36114.0,45654.0,DebtCon,Office,0.0,0.0,0.0,83.33329177225109,0.0,9.0,25.343478448699898
0,8600,124810.0,176581.0,DebtCon,Other,8.0,0.0,0.0,213.30288481711898,1.0,19.0,32.876458513688505
0,12300,112373.0,136202.0,DebtCon,ProfExe,16.0,,1.0,179.88297329991002,0.0,32.0,30.4882681048188
0,19300,73668.0,89061.0,DebtCon,Other,0.0,2.0,1.0,113.453561213652,2.0,25.0,33.4988153766649
0,17000,125728.0,159770.0,DebtCon,Mgr,,0.0,0.0,228.422382153307,0.0,18.0,37.0083737814186
0,18600,98200.0,123662.0,DebtCon,Office,0.0,,3.0,241.642231571031,0.0,29.0,41.0506573495691
0,31800,226152.0,283022.0,DebtCon,ProfExe,4.0,0.0,1.0,209.29737626427502,0.0,29.0,15.7341436808855
0,17200,53849.0,102326.0,HomeImp,Other,1.0,0.0,3.0,57.1667451237785,1.0,9.0,39.9911542435927
0,11100,82849.0,113913.0,HomeImp,ProfExe,10.0,0.0,1.0,167.361029922445,0.0,27.0,35.763333479367795
0,9000,93521.0,126024.0,HomeImp,Other,9.0,,,411.753081259427,1.0,49.0,41.664281039170106
0,13200,28428.0,34477.0,DebtCon,Other,0.0,,,,,,39.370262708873604
1,8600,44992.0,66403.0,DebtCon,Other,8.0,0.0,0.0,172.551555040053,1.0,27.0,43.8756108211985
0,13000,27787.0,44901.0,DebtCon,Other,8.0,,1.0,166.726277198424,7.0,28.0,38.3551256102068
0,8100,13179.0,32981.0,,,,,,,,,31.7422492836287
0,10700,29569.0,47842.0,DebtCon,Other,12.0,,1.0,144.817174605879,7.0,28.0,36.784582009229105
0,38900,31836.0,54976.0,DebtCon,Other,,0.0,0.0,,6.0,0.0,33.4592456437923
0,15800,101246.0,142340.0,DebtCon,Office,2.0,,,109.293932585391,2.0,16.0,33.770828549033396
1,11000,54100.0,70438.0,DebtCon,Self,2.0,3.0,1.0,115.6,1.0,25.0,
0,18400,75491.0,101745.0,DebtCon,ProfExe,0.0,0.0,0.0,279.370050655659,1.0,20.0,38.750299660652104
1,28000,28042.0,63500.0,DebtCon,ProfExe,14.0,2.0,4.0,121.733333333333,4.0,28.0,
1,16000,83200.0,,DebtCon,ProfExe,0.6,0.0,0.0,318.566666666667,9.0,27.0,
0,20500,39147.0,58049.0,DebtCon,Other,,0.0,0.0,202.90305426530702,0.0,12.0,38.646018727052
0,6000,,43300.0,HomeImp,Other,,,,100.933333333333,,9.0,
0,9300,79133.0,100033.0,DebtCon,Other,3.0,0.0,0.0,102.163027434352,2.0,31.0,40.7946354542974
0,17000,47000.0,112720.0,DebtCon,ProfExe,16.0,0.0,0.0,257.7,0.0,20.0,
0,11200,153103.0,181849.0,HomeImp,Office,6.0,0.0,0.0,186.24950699547298,0.0,55.0,33.9955653557533
1,12000,69000.0,92900.0,HomeImp,ProfExe,2.0,0.0,0.0,115.9,0.0,15.0,
1,16300,31800.0,63000.0,DebtCon,Other,12.0,1.0,5.0,124.9,1.0,14.0,
0,23500,44952.0,70191.0,DebtCon,Office,6.0,0.0,0.0,164.963939916035,1.0,26.0,35.788157705300605
1,27700,97834.0,132396.0,HomeImp,ProfExe,18.0,0.0,2.0,303.95191452362,2.0,26.0,6.8870241267685905
0,40500,66895.0,113770.0,DebtCon,Mgr,14.0,0.0,0.0,188.140416829721,0.0,22.0,38.0853281313299
0,17400,62824.0,82243.0,DebtCon,Other,5.0,,,109.482748522476,0.0,7.0,34.8184449931693
0,15400,32131.0,47338.0,HomeImp,Other,9.0,0.0,0.0,93.37314219598042,1.0,11.0,31.4091863558158
0,57000,38000.0,68000.0,DebtCon,Other,3.5,0.0,0.0,97.4,0.0,21.0,
0,19200,31307.0,60202.0,DebtCon,ProfExe,18.0,0.0,0.0,170.581299100428,1.0,20.0,35.600544952578204
0,20000,69742.61,180000.0,,Other,11.0,0.0,0.0,366.3,1.0,17.0,
0,25700,50800.0,85000.0,DebtCon,Other,23.0,1.0,2.0,184.266666666667,1.0,20.0,
